[00:00:31] 嗯。
[00:06:33] 不不像个男人。
[00:06:38] 我梦的童年眼泪是真的有点。
[00:06:49] 因为太珍惜，
[00:06:53] 所以才犹豫。
[00:06:57] 忘了先把彼此抱紧，
[00:07:01] 我不是留言，
[00:07:03] 不能猜测你。
[00:07:06] 疯狂的游戏需要谁珍惜？
[00:07:11] 别人怎么说我都不介意。
[00:07:16] 爱不爱你日久见人心，
[00:07:21] 请你再努力画一个。
[00:07:25] 世纪。
[00:07:26] 好了，
[00:07:27] 大家现在能够听见的话，
[00:07:29] 可以把你们家乡的名字敲到评论区啊，
[00:07:33] 让我看看大家都是哪个地方的人？
[00:07:36] 好吧，
[00:07:36] 每个同学呢，
[00:07:37] 也都是不容易的啊，
[00:07:39] 我们希望带着大家呢，
[00:07:40] 能够把它搞定吧。
[00:07:42] 这个你们稍等一下哈，
[00:07:44] 我把这个。
[00:07:46] 这课课课前呢，
[00:07:48] 给大家做个解释啊，
[00:07:50] 有的同学说这个我失恋啊嗯。
[00:07:54] 实际上来讲呢，
[00:07:55] 并没有十年啊，
[00:07:57] 就有的时候呢。
[00:07:59] 有的时候呢话呢，
[00:08:01] 只是听了一首歌而已啊，
[00:08:03] 没有其他的意思。
[00:08:05] 哎呀，
[00:08:05] 我有的时候也应该注意啊，
[00:08:07] 有的时候给大家放一首悲伤的歌呢，
[00:08:09] 很多同学要么说我离婚了，
[00:08:11] 要么说我失恋了。
[00:08:12] 当一个老师也挺不容易的啊，
[00:08:14] 我有的时候吧，
[00:08:15] 这个人吧，
[00:08:16] 我我这个人是比较二的一个人就是比较直，
[00:08:19] 然后呢，
[00:08:19] 也又是一个性情中人哈，
[00:08:21] 我并不知道。
[00:08:22] 应该怎么样给大家沟通，
[00:08:23] 毕竟你们都年轻，
[00:08:25] 我和你们稍微有点代沟，
[00:08:26] 希望大家能够多多包涵，
[00:08:28] 多多理解好吧？
[00:08:29] 比如说呢，
[00:08:30] 我有的时候看见有的同学呢，
[00:08:32] 不好好学习，
[00:08:33] 然后呢，
[00:08:33] 还打卡的时候在抖音上到处玩这玩那一下啊，
[00:08:37] 然后呢，
[00:08:37] 那玩一下在小红书上的话呢。
[00:08:39] 这样搞一下，
[00:08:40] 那样搞一下，
[00:08:41] 我会直接去呃说他一顿，
[00:08:43] 然后呢，
[00:08:43] 这样还把你们得罪了，
[00:08:45] 哎，
[00:08:45] 我觉得我年龄也大了，
[00:08:47] 然后呢，
[00:08:47] 我以后呢，
[00:08:48] 还是当一个大哥哥好吧。
[00:08:50] 以后也别当大哥哥了，
[00:08:51] 以后我就是你们的大弟弟，
[00:08:53] 行吗？
[00:08:53] 同学们好了，
[00:08:54] 所有的同学，
[00:08:55] 现在如果你们能够听清的话，
[00:08:57] 就给老师敲个一我们这节课就正式开始了哈。
[00:09:00] 这节课呢，
[00:09:01] 我们给大家讲一道真题的实战，
[00:09:04] 首先大家来看一下这个题目，
[00:09:07] 给定材料四提到我们将继续按照轻车与壮马。
[00:09:11] 相结合的原则持续改进和创新工作模式，
[00:09:15] 努力绘就基层治理新画卷。
[00:09:17] 请深入思考这句话对执法工作的。
[00:09:21] 借鉴意义，
[00:09:22] 联系实际，
[00:09:23] 自选角度，
[00:09:24] 自拟题目，
[00:09:25] 写一篇文章好，
[00:09:26] 大家读完这个题目之后告诉我。
[00:09:29] 拿到任何一个题目审题的时候，
[00:09:32] 脑子当中一定要想它到底是单主题还是双主题还是多主题。
[00:09:38] 各位认真的看一下，
[00:09:40] 在这句话当中，
[00:09:42] 它出现了两组非常重要的词，
[00:09:45] 一个是轻车，
[00:09:46] 一个是壮马。
[00:09:47] 大家觉得轻车壮马，
[00:09:49] 它是应该是单主题还是应该是一个多主题？
[00:09:53] 轻车壮马的话，
[00:09:55] 我觉得它是。
[00:09:56] 双主题，
[00:09:57] 双主题，
[00:09:58] 各位它在考试的时候有两种考察方式，
[00:10:02] 一种是AB类，
[00:10:04] 一种是ABC类。
[00:10:06] 大家觉得这个题目是在说AB还是在说ABC，
[00:10:09] 如果是c就指的轻车壮马是指的某一个领域，
[00:10:13] 如果是AB就是指的所有的领域。
[00:10:16] 在这句话当中，
[00:10:18] 轻车还有撞马，
[00:10:20] 它是指的基层治理对吧？
[00:10:23] 但是最后让我们谈的是执法工作。
[00:10:27] 所以你会发现，
[00:10:28] 他不管是在这句话当中，
[00:10:30] 还是在后面的这句话当中，
[00:10:32] 他都有一个明确的领域的。
[00:10:34] 他最后请问大家一下，
[00:10:37] 这个c是要说的是基层治理还是要说的是执法工作？
[00:10:42] 哪位同学能够看出来，
[00:10:44] 很多同学当年在考试的时候，
[00:10:46] 这个题目是二五年安徽的题目，
[00:10:49] 很多同学当时就跑题了，
[00:10:51] 因为最后。
[00:10:52] 大作文写作的时候，
[00:10:53] 比如说还有40分钟要写800到1000字，
[00:10:57] 十分紧张，
[00:10:58] 非常慌乱，
[00:10:58] 写这个题目的时候就写了一个基层治理。
[00:11:02] 请问大家一下，
[00:11:03] 如果在考试的时候，
[00:11:05] 我们真的有的同学把这个题目写成了和基层领域。
[00:11:10] 有关的内容，
[00:11:11] 你觉得还能够给分吗？
[00:11:13] 你这个时候就整个来讲就崩盘了，
[00:11:17] 出来之后你背再多的模板，
[00:11:19] 你写的再漂亮也没有人看了。
[00:11:22] 记住这个题目一定要谈的是执法工作好了ABC，
[00:11:26] 它的标题前半句应该等于对策，
[00:11:30] 后半句应该等于影响。
[00:11:32] 这个对策，
[00:11:33] 请问大家一下应该怎么写这个对策当中要有轻车吧？
[00:11:40] 这个对策当中要有壮马吧好，
[00:11:42] 如果我只想用这两个词，
[00:11:45] 前面加一个动词，
[00:11:46] 后面加一个尾巴，
[00:11:48] 把它搞定的话，
[00:11:50] 你觉得应该加哪个动词？
[00:11:52] 如果你就实在想不起来加哪个动词，
[00:11:55] 你就记住了，
[00:11:56] 这个世界上有一个国家，
[00:11:58] 除了没事打伊朗，
[00:11:59] 其他就是为了你的大草明写作存在的，
[00:12:02] 以轻车与壮马。
[00:12:03] 破题哎，
[00:12:04] 这个时候就把它搞定了，
[00:12:07] 然后大家选择是基层治理还是执法工作？
[00:12:12] 再给你一次选择的机会，
[00:12:14] 人家一定要你思考的是执法工作的意义，
[00:12:18] 所以我就把。
[00:12:20] 执法工作写出来，
[00:12:21] 把执法工作前面加一个动词，
[00:12:24] 后面加一个尾巴，
[00:12:26] 应该怎么办？
[00:12:27] 大家一起写绘就。
[00:12:29] 执法工作。
[00:12:31] 新篇章。
[00:12:32] 一起把它搞定，
[00:12:34] 会旧执法工作新篇章，
[00:12:37] 哎。
[00:12:38] 你看这不就很好了吗？
[00:12:40] 啊以轻车与壮马破骑绘就执法工作新篇章，
[00:12:44] 就可以全部把它搞定了。
[00:12:46] 好了，
[00:12:46] 那我们这个题目也就到这也就结束了好吧，
[00:12:50] 以轻车这是一个壮马，
[00:12:52] 然后这是一个执法工作，
[00:12:54] 都给大家搞定了。
[00:12:55] 那么，
[00:12:56] 我问大家一下，
[00:12:57] 这个题目标题写到这儿写就可以了，
[00:13:00] 但是如果要找分论点的话。
[00:13:03] 大家觉得直接根据题干能不能看出来有几个分论点，
[00:13:08] 就是根据我们的题干的底层逻辑。
[00:13:11] 有没有同学能够看出来那么大概率应该有三个分类点吧，
[00:13:17] 这种是ABC的。
[00:13:18] 所以它的分论点大概率是什么？
[00:13:21] 哪位同学可以告诉我ABC的第一个分论点应该谈什么？
[00:13:26] 是不是应该谈a对c有什么影响？
[00:13:29] 第二个分论点应该谈b对c有什么影响？
[00:13:32] 第三个分论点应该谈a+b结合起来怎么干？
[00:13:36] 对c的影响？
[00:13:37] 大家同意吧，
[00:13:38] 好了，
[00:13:39] 这个时候我问大家一下。
[00:13:41] a是指的轻车c是指的执法工作b是指的撞马c指的是执法工作a是指的轻车b是指的撞马。
[00:13:52] c指的是执法工作，
[00:13:54] 但是大家发现这个题目有一个非常重要的特征，
[00:13:59] 有没有发现？
[00:14:01] 轻车和壮马，
[00:14:02] 它是一个什么样的说法？
[00:14:04] 轻车壮马说的是具体的，
[00:14:07] 实在的还是说的是？
[00:14:09] 复杂的抽象的它是一个比喻的说法，
[00:14:12] 遇到这种比喻的说法，
[00:14:14] 大家觉得需不需要，
[00:14:16] 不管是在开头当中或者是在分论点当中。
[00:14:20] 要把它解释一下呢。
[00:14:23] 大家觉得要不要解释啊？
[00:14:25] 那我觉得还是要去解释的，
[00:14:27] 大家同意吧，
[00:14:28] 要求把它解释的，
[00:14:30] 所以我们带着大家一起往下走啊，
[00:14:32] 带着大家一起往下走。
[00:14:34] 好，
[00:14:34] 大家来看一下，
[00:14:36] 下面我们解释轻车合撞码，
[00:14:39] 既然加了一个引号，
[00:14:41] 就代表在材料当中，
[00:14:43] 你觉得大概率会有关于轻车双码的。
[00:14:47] 原词原句还是需要我们自己发挥去解决，
[00:14:50] 哪位同学可以告诉我是不是大概率会有一个原词原句啊，
[00:14:55] 要不然的话他没有办法形成一个绝对的权威的答案。
[00:15:00] 到时候有的同学要去符合申诉分数的时候，
[00:15:03] 他就说不清了，
[00:15:04] 那么我们这个时候带着大家来看一下，
[00:15:07] 首先我们主要是解。
[00:15:09] 先找一下轻车，
[00:15:10] 还有一个撞法，
[00:15:11] 在找轻车撞法之前，
[00:15:13] 我就问大家一下，
[00:15:15] 咱们能不能先猜一下？
[00:15:17] 轻车和撞马具体是指什么？
[00:15:19] 按照常识猜，
[00:15:20] 因为它根据我们的材料呢，
[00:15:23] 也一定要是符合根规律的，
[00:15:25] 大家看。
[00:15:26] 轻车相对于基层治理，
[00:15:28] 轻车大家想想它是一个比喻的说法，
[00:15:31] 就像我们基层治理或者我们基层。
[00:15:35] 它如果是一辆车的话。
[00:15:38] 轻车治理啊，
[00:15:39] 治理也就是我们基层的工作，
[00:15:42] 这个时候我们把它变一个轻车，
[00:15:45] 你觉得大概率这个轻车是指什么？
[00:15:48] 就是如果你是一个马的话，
[00:15:51] 你拉拉着一辆车，
[00:15:53] 这个车呢，
[00:15:54] 轻了这个轻了，
[00:15:55] 代表是你的负担轻了。
[00:15:57] 大家同意吧，
[00:15:58] 也就是代表我们减负了，
[00:16:00] 先猜一下，
[00:16:01] 没关系的，
[00:16:02] 好了，
[00:16:02] 我问大家一下，
[00:16:04] 这个撞马的马，
[00:16:05] 你们知道是指什么吗？
[00:16:07] 就是在基层治理当中，
[00:16:09] 这个马它肯定和轻车一样，
[00:16:11] 也是代表相关的一个主体。
[00:16:14] 是吧，
[00:16:14] 那么这个轻车呢，
[00:16:16] 就是代表政府或者是代表基层减负了。
[00:16:20] 这个撞马的话呢，
[00:16:22] 各位谁是马同学们？
[00:16:24] 谁是马？
[00:16:25] 是不是你未来要成为公务员的你？
[00:16:29] 你就是那个牛马？
[00:16:30] 你是那个拉车的人是吧？
[00:16:32] 你就是那个拉车的人哎，
[00:16:34] 你就是那个拉车的人，
[00:16:36] 那么这个拉车的人，
[00:16:37] 请问大家一下是指谁有哪位同学可以告诉我？
[00:16:41] 这个拉车的人，
[00:16:42] 如果在基层治理的时候，
[00:16:44] 他就可能是基层相关的工作人员，
[00:16:47] 但是如果是在执法的时候，
[00:16:49] 请问大家一下。
[00:16:50] 他们是指谁哎？
[00:16:52] 如果是在执法的时候，
[00:16:54] 他是不是就大概率是指的执法人员啊？
[00:16:59] 大家同意吗？
[00:17:00] 如果他是在就是就是执法的时候，
[00:17:03] 这个车可能就是指的执法的部门。
[00:17:07] 你看大体猜都能猜个差不多，
[00:17:10] 那当然到底是不是这样呢？
[00:17:12] 我们还不知道，
[00:17:13] 但是我们这个时候请问大家一下。
[00:17:16] 这个材料你觉得要不要去看其他的材料？
[00:17:20] 要不要去看材料？
[00:17:21] 一材料二和材料三，
[00:17:23] 这个时候我拿不准没关系，
[00:17:25] 我就先看一下后面的客观小题。
[00:17:28] 先问大家一下，
[00:17:29] 就是在考试的时候发下试卷，
[00:17:31] 我们是先去看所有的材料，
[00:17:33] 还是先去看？
[00:17:34] 后面的这三个小题的题干，
[00:17:37] 我们在发了试卷之后，
[00:17:39] 大家就可以先去看一下这个题干，
[00:17:42] 你看了这个题干，
[00:17:43] 即使你没有看材料，
[00:17:45] 但是你就知道哦，
[00:17:46] 材料一。
[00:17:47] 它大概率是在说高标准农田的事情哦，
[00:17:50] 材料二它大概率是说的火车站停车场的问题的事情，
[00:17:55] 材料三哦，
[00:17:56] 它大概率说的是。
[00:17:58] 就是有一个文明实践赶大集，
[00:18:01] 哎，
[00:18:01] 就是的事情，
[00:18:02] 所以你会发现这些东西和执法。
[00:18:06] 有没有直接的关联？
[00:18:07] 同学们，
[00:18:08] 你会发现这些东西高标准农田，
[00:18:11] 它和执法没有直接关联，
[00:18:13] 赶大集也没有直接关联，
[00:18:15] 唯一可能的就是停车站。
[00:18:17] 说不定有点关联，
[00:18:18] 所以这个时候我们大家像，
[00:18:20] 如果我们材料四也就是我们轻车壮马的这个材料，
[00:18:24] 如果能够。
[00:18:25] 把三个分论点就是全部解释了的话，
[00:18:29] 还需不需要再去看一二三，
[00:18:32] 你会发现压根不用看。
[00:18:35] 这个时候一定要选择关联度更紧的那一则材料，
[00:18:40] 关联度更紧，
[00:18:41] 这个时候就近原则，
[00:18:43] 它的争议性就会更小一些。
[00:18:46] 大家同意了吧，
[00:18:47] 那我们再带着大家往下走，
[00:18:49] 大家来看一下，
[00:18:50] 就是永远大家给我记住了，
[00:18:52] 你要找的是什么？
[00:18:54] 你要找的是轻车。
[00:18:56] 你要找的是什么？
[00:18:58] 你要找的是壮马好了，
[00:19:00] 大家再来看一下，
[00:19:02] 就是整体来讲在。
[00:19:04] 材料当中有这样的一句话，
[00:19:07] 有没有同学看到这一句话？
[00:19:10] 看到这一句话，
[00:19:11] 你觉得这句话当中能和轻车直接进行一个关联的话，
[00:19:16] 大家觉得它哪个词和轻车能够直接进行一个关联？
[00:19:20] 可不可以直接告诉我，
[00:19:22] 就是第二段的断首句哪个词和轻车直接的关联是不是基层减负大概率就是在说一个轻车？
[00:19:31] 基层减负大概率就是在说停车好，
[00:19:33] 那么我们再带着大家简单的往下扫一下这次材料呢，
[00:19:38] 就是比较简单。
[00:19:39] 基层减负大概率是在说清仓好，
[00:19:42] 那么到后面大家看一看还有没有其他的话能够告诉我们？
[00:19:49] 啊，
[00:19:49] 稍等一下啊。
[00:19:52] 来看一下。
[00:19:53] 那个轻车壮马出现的原词原句在哪个地方？
[00:19:58] 我记得材料当中有一个轻车壮马的原词原句啊。
[00:20:03] 在最后出现了，
[00:20:04] 还有一个自转站出现了，
[00:20:06] 我这边怎么？
[00:20:07] 哎，
[00:20:08] 第六个资产段，
[00:20:09] 我这边怎么没有呢？
[00:20:11] 我的妈呀。
[00:20:13] 我这边还没有第六个资产段，
[00:20:16] 没关系啊，
[00:20:16] 你们讲一场有吧，
[00:20:18] 没关系，
[00:20:18] 我给大家找到第六个资产段，
[00:20:21] 大家稍等一下啊。
[00:20:26] 稍等一下，
[00:20:27] 翻一下PPT，
[00:20:28] 我这个鼠标稍微有点问题，
[00:20:30] 大家等我几秒钟就翻到了。
[00:20:37] 哎呀，
[00:20:38] 我的妈呀。
[00:20:39] 刚才这个。
[00:20:41] 我还。
[00:20:43] 刚才我这有吗？
[00:20:46] 我记得我都给大家粘贴进来的。
[00:20:54] 最上面啊。
[00:20:58] 这是五。
[00:21:01] 哦，
[00:21:01] 这是一个六不好意思啊，
[00:21:04] 这个可能是那个wswps那个格式转换的问题，
[00:21:07] 这个地方是一个六，
[00:21:09] 大家来看一下。
[00:21:10] 这个轻车壮马，
[00:21:12] 大家觉得这句话它算是一个什么句子？
[00:21:16] 这句话当中同时出现的轻车，
[00:21:18] 又同时出现了一个。
[00:21:20] 壮马，
[00:21:21] 而且它放在了断首句，
[00:21:23] 请问大家一下，
[00:21:24] 你们告诉我它算是什么句子？
[00:21:26] 是不是一个过渡句？
[00:21:28] 哎，
[00:21:28] 所有的同学过渡句对于我们来讲的话，
[00:21:32] 它应该呈现一个什么样的功能？
[00:21:35] 我反复给大家说过。
[00:21:37] 过渡句它要呈现的功能就是承上就是起下，
[00:21:41] 大家同意吧，
[00:21:42] 好了，
[00:21:43] 要轻车轻车，
[00:21:44] 我们知道了，
[00:21:45] 就是减轻负担。
[00:21:47] 更要撞马那么轻车，
[00:21:49] 就是减轻负担，
[00:21:51] 撞马撞马就是你要给我有成效。
[00:21:55] 撞马就是你要给我有发展，
[00:21:57] 大家现在能够看懂吗？
[00:21:59] 也就这个撞马的话呢，
[00:22:01] 就是哎，
[00:22:02] 这个撞马就是指的我们工作人员要有成效。
[00:22:06] 壮马如果指的是工作人员，
[00:22:09] 更有成效。
[00:22:10] 我请问大家一下，
[00:22:11] 再来这个我假如说看不出来没关系，
[00:22:14] 再来看断尾句撞马，
[00:22:16] 这个就是马，
[00:22:17] 我感觉工作内容更清晰了，
[00:22:19] 完成任务更有信心了。
[00:22:21] 这个是代表对他干了一件什么事情，
[00:22:24] 是不是通过培训给他干了一件赋能的事情，
[00:22:28] 就是撞马就是帮他进行一个赋能，
[00:22:31] 大家觉得能通吗？
[00:22:32] 好了，
[00:22:33] 大家再来看一下这个断尾句，
[00:22:35] 这个断尾句撞马也就是为工作人员增加动力也是可以的，
[00:22:40] 增加动力还可以理解成负能。
[00:22:42] 好吧，
[00:22:42] 那我觉得这几句话基本上就是可以判定出来了，
[00:22:46] 当然大家的词不一定跟我一样，
[00:22:48] 只要说的合情合理也就行了现在。
[00:22:50] 我们我们给大家把它确认轻车是指的减负，
[00:22:55] 大家把减负给老师一起敲下来撞马。
[00:22:58] 它是指的赋能，
[00:22:59] 给老师敲下来这两个词呢，
[00:23:01] 只要大家能够说的合情合理就一样，
[00:23:04] 减负原词原句赋能，
[00:23:06] 只要大家说的合情合理就可以了。
[00:23:08] 好，
[00:23:08] 不一定跟我一样，
[00:23:10] 那么下面我们要带着大家去找分论点，
[00:23:13] 请问大家一下找分论点分论点，
[00:23:15] 我们一直给大家说，
[00:23:17] 主要是找什么要素，
[00:23:18] 哪位同学？
[00:23:19] 可以告诉我分论点，
[00:23:21] 主要是找什么要素分论点，
[00:23:24] 他一直跟我们说要找这个角度，
[00:23:27] 这个角度是不是要么只是的对策？
[00:23:30] 要么是指的影响。
[00:23:32] 我问大家一下，
[00:23:33] 你觉得我们是找对策还是找影响哪位同学可以告诉我，
[00:23:38] 我觉得是要找对策也就可以了，
[00:23:40] 你这个里边第一个分论点正儿八经的。
[00:23:44] 应该说a对c有什么影响，
[00:23:47] 也就是在说价。
[00:23:48] 轻车。
[00:23:50] 它对谁有影响？
[00:23:52] 它对执法工作有什么影响？
[00:23:55] 好了，
[00:23:56] 那我这个时候最重要的就是把轻驾轻车代表什么对策，
[00:24:01] 从材料当中给我找出来，
[00:24:03] 要需要把它解再把它解释一下。
[00:24:06] 然后呢？
[00:24:07] 轻车我们知道了，
[00:24:08] 是减负那么最好，
[00:24:10] 我们在分类点的时候把加轻车具体的对策，
[00:24:14] 能够把它总结出来。
[00:24:16] 请问大家下，
[00:24:17] 如果找对策的话，
[00:24:18] 到材料当中找标志性的词语是什么？
[00:24:21] 标志性词语是不是动词？
[00:24:23] 是不是就是事情？
[00:24:25] 然后呢？
[00:24:25] 价氢车如果到残料当中找，
[00:24:28] 应该主要看什么看断手续？
[00:24:30] 看断尾句。
[00:24:32] 看高频词，
[00:24:33] 看关联词，
[00:24:34] 看关键词，
[00:24:35] 还看什么？
[00:24:37] 哪位同学可以告诉我？
[00:24:39] 首尾句高频词关联词关键词还有什么？
[00:24:42] 哪位同学告诉我还有相关的主体好了，
[00:24:46] 那我们就带着大家牢牢的记住轻车壮马。
[00:24:49] 这两个词带着大家认真的看一下啊，
[00:24:53] 大家看首先呢，
[00:24:54] 我们来看一下断首句这句话当中有没有驾轻车具体的对策？
[00:25:00] 哪位同学可以告诉我这一句话当中有没有驾轻车具体的对策，
[00:25:06] 如果有的话，
[00:25:07] 它大概率就是孩子，
[00:25:09] 它大概率就是制度。
[00:25:11] 但是牌子和制度，
[00:25:13] 它在这个过程当中，
[00:25:15] 它只是出现在一个门口处，
[00:25:17] 走廊里，
[00:25:18] 墙壁上。
[00:25:19] 这个一句话大概率是在给我们讲一个例子，
[00:25:23] 大家同意吧，
[00:25:24] 好了再来看一下断尾句，
[00:25:26] 这个断尾句我们现在大变样了，
[00:25:28] 从这个地方到这个地方。
[00:25:30] 请问大家一下，
[00:25:32] 他是在说什么事情？
[00:25:33] 他是在说什么事情？
[00:25:35] 这里边他是在说我们的制度，
[00:25:38] 我们的流程，
[00:25:39] 我们的服务，
[00:25:40] 而且有一个更有一个更有一个了。
[00:25:43] 它是在说一个影响吧，
[00:25:45] 这个影响我们就暂时先别管了，
[00:25:47] 这个影响呢，
[00:25:48] 它指的是一个结果，
[00:25:50] 我脑子CPU不好，
[00:25:51] 我要找驾轻车，
[00:25:52] 我就牢牢的记住，
[00:25:54] 我要找对策。
[00:25:55] 好，
[00:25:55] 大家再来往下看一下这句话，
[00:25:58] 请问大家一下有没有具体的驾轻车的对策？
[00:26:03] 哪位同学可以告诉我发生变化的这个还是最终的一个成效或者一个结果，
[00:26:10] 这个要素不符合对策。
[00:26:11] 好了，
[00:26:12] 再来看一下断尾句，
[00:26:14] 如果如今在f市的村社一级上墙事项已经从50家的内容缩减到。
[00:26:21] 就是哎，
[00:26:21] 这么多家了，
[00:26:22] 所以这一段话他真的要驾轻车，
[00:26:25] 他干的事情你们觉得是什么事情？
[00:26:28] 已经这个事情还是在说一个成效，
[00:26:31] 如果你实在想把它总结成一个对策的话，
[00:26:35] 它也是减少上墙事项。
[00:26:38] 好，
[00:26:38] 我们拿不准，
[00:26:39] 先把它放在这，
[00:26:40] 减少上墙事项和架轻车其实能够挂钩这个减少上墙事项，
[00:26:46] 它是有具体的数字的。
[00:26:48] 所以待会我们可以把它当成一个例子去论证起来是吧？
[00:26:53] 好了再带着大家往下走。
[00:26:55] 大家来看一下第三个自然段，
[00:26:59] 读一下断首句有没有和驾轻车有关的对策？
[00:27:04] 你会发现没有吧，
[00:27:06] 经常是被层层转嫁，
[00:27:08] 这个显然是指什么要素？
[00:27:10] 哪位同学可以告诉我被层层转嫁？
[00:27:14] 是不是指的一个问题啊？
[00:27:16] 这个问题它不是对策好了再来看一下断尾句对此。
[00:27:21] f是。
[00:27:22] 推行改革破解三个难题，
[00:27:26] 请问大家一下这句话它是在讲什么？
[00:27:31] 这句话是不是是在讲一个类似于总论点的东西啊？
[00:27:35] 他讲的是比较宏观的东西啊，
[00:27:38] 这句话如果我们写的话，
[00:27:40] 可以把它放在。
[00:27:42] 我们申论大作文写作的开头主体还是结尾，
[00:27:46] 哪位同学可以告诉我，
[00:27:48] 我们其实可以把这句话写在开头。
[00:27:51] 都不需要我们用那些万能的背景，
[00:27:53] 万能的问题了，
[00:27:54] 他就直接跟我们说好了，
[00:27:56] 没关系，
[00:27:56] 我们再来看一下，
[00:27:57] 再来看一下。
[00:27:58] 断尾句，
[00:27:59] 断首句里边有一个与此同时看到这个与此同时的连词，
[00:28:03] 你能够想到它是一个什么关系？
[00:28:06] 大概率应该是一个并列的关系吧，
[00:28:09] 看看这句话有没有和轻车能够直接关联的，
[00:28:13] 大家看。
[00:28:14] 这里面第一步就是理清界限，
[00:28:17] 这就是一个断首句理清界限，
[00:28:21] 请问大家一下他。
[00:28:23] 算是一个什么要素，
[00:28:25] 理清界限，
[00:28:26] 是不是就是在说一个对策，
[00:28:28] 这个对策可不可以变成我们？
[00:28:31] 驾轻车的具体的第一个分论点的解释，
[00:28:35] 你会发现完全没有问题吧？
[00:28:37] 好了再来看一下，
[00:28:39] 与此同时。
[00:28:40] 与此同时，
[00:28:41] 我们再来看一下哪些能上墙，
[00:28:45] 哪些可盖章，
[00:28:46] 也对此进行了全面的。
[00:28:49] 梳理与明确，
[00:28:51] 请问大家一下，
[00:28:52] 这个时候就是这个里面，
[00:28:55] 虽然它有个与此同时后。
[00:28:57] 理清界限能不能。
[00:29:00] 就是说明哪些能上墙，
[00:29:02] 哪些可盖章，
[00:29:03] 你会发现依然是可以的吧？
[00:29:05] 这个一句话当中理清界限，
[00:29:07] 它其实能够包含了哪些能上墙，
[00:29:10] 你上墙墙不就是界限吗？
[00:29:12] 哪些能盖章章，
[00:29:14] 不就是界限吗？
[00:29:15] 所以这段话它出的第一个分论点四个字一起写理清界限。
[00:29:20] 把它一起写下来，
[00:29:22] 理清界限，
[00:29:23] 哎，
[00:29:23] 这就是我们驾轻车要干的第一件事情，
[00:29:26] 好了，
[00:29:27] 大家再来看一下。
[00:29:28] 下面的这一句话应该怎么变职责？
[00:29:31] 任务明晰后，
