[00:00:00] 给大家。
[00:07:06] 更关键的是要明确跑的目标。
[00:07:09] 请你对这句话进行深入思考，
[00:07:12] 针对行政执法工作联系实际自选角度，
[00:07:15] 自拟题目写一篇文章。
[00:07:17] 好了，
[00:07:17] 所有的同学们，
[00:07:18] 现在我问大家一下。
[00:07:20] 就是拿到这样一个题目，
[00:07:22] 大家认真的琢磨一下这个题目当中的这句话，
[00:07:27] 你拿到这句话的时候。
[00:07:29] 可能脑袋是空白的，
[00:07:30] 但是你在考场上，
[00:07:31] 你脑袋空白的时候，
[00:07:33] 你要记住吧，
[00:07:34] 袁东老师站在你身后，
[00:07:35] 像个大哥哥一样，
[00:07:36] 说说什么？
[00:07:37] 你这个时候应该思考什么？
[00:07:39] 你的脑袋像这个PPT一样，
[00:07:41] 是空白的，
[00:07:42] 要从哪个方面思考？
[00:07:43] 你一定要记住了，
[00:07:45] 要思考它到底是单主题。
[00:07:47] 还是双主题，
[00:07:48] 还是多主题，
[00:07:49] 这一步非常重要，
[00:07:50] 你因为你这一步判断错了的话，
[00:07:53] 就像你盖一个房子，
[00:07:54] 你把这个股价就搞错了，
[00:07:57] 这个就麻烦了。
[00:07:58] 大家认真的看一下这个题目，
[00:08:01] 你觉得读材料它是单主题，
[00:08:03] 双主题还是多主题，
[00:08:05] 大家看。
[00:08:06] 要想获得真正的进步，
[00:08:08] 不能一味的往前跑，
[00:08:10] 不能只是一味的往前跑，
[00:08:12] 更关键的是要明确跑的目标。
[00:08:15] 大家再审一下，
[00:08:16] 是单主题双主题还是多主题？
[00:08:19] 二零年国考当中，
[00:08:21] 绝大多数同学把这个题目写成了单主题。
[00:08:24] 但是大家再认真看一下这个题目，
[00:08:27] 它有两个词是非常重要的，
[00:08:29] 第一个词大家觉得是哪个词？
[00:08:32] 第一个词是不是在说往前跑啊？
[00:08:35] 第二个词大家来看一下是不是在说明确跑的目标啊？
[00:08:40] 大家觉得他对于往前跑，
[00:08:43] 还有一个跑的目标。
[00:08:45] 这个它应该是单主题，
[00:08:48] 双主题，
[00:08:48] 多主题，
[00:08:49] 你这个时候明显觉得它俩中间有一个，
[00:08:53] 更请问这个更如果用我们中观的大逻辑去分析的话。
[00:08:58] 它是一个什么样的逻辑关系？
[00:09:00] 这个更是不是一个递进的逻辑关系啊？
[00:09:04] 这个递进的逻辑关系。
[00:09:06] 诶，
[00:09:06] 也就可以了，
[00:09:07] 这个递进的更它的逻辑关系。
[00:09:11] 递进的更它的逻辑关系，
[00:09:13] 所以我们最好要把它写成一个双主题，
[00:09:16] 大家同意吧，
[00:09:17] 双主题的话。
[00:09:19] 这个时候题目当中有一个词叫往前跑，
[00:09:23] 那我们肯定是一个对策，
[00:09:25] 这个是没问题的。
[00:09:27] 请问双主题，
[00:09:28] 如果你标题的话，
[00:09:30] 前半句是写对策还是写影响应该写对策吧，
[00:09:33] 后半句应该写对策还是影响应该写影响吧？
[00:09:37] 那么往前跑呢，
[00:09:39] 它肯定就是对策明确跑的目标，
[00:09:42] 请问大家一下，
[00:09:43] 你觉得它是对策还是一个影响明确跑的目标？
[00:09:47] 也就是指的目标，
[00:09:49] 他肯定是一个对策同意吧，
[00:09:51] 因为你递进嘛，
[00:09:52] 如果有一个是对策，
[00:09:54] 那另一个也是对策才能构成递进，
[00:09:57] 只是他说的更深入。
[00:09:58] 它程度更深或者时间更更更久是吧？
[00:10:02] 但是它都是对策好了，
[00:10:04] 这个影响要想获得真正的进步。
[00:10:07] 请问这个双主题在考试的时候，
[00:10:11] 要么是AB类，
[00:10:12] 要么是ABC类。
[00:10:14] 然后题干当中明确的说了，
[00:10:16] 针对行政执法工作这个领域，
[00:10:19] 所以你觉得这个双主题我们应该写成AB还是应该写成ABC？
[00:10:24] 哪位同学可以告诉我，
[00:10:26] 是不是它只要是针对某一个领域的，
[00:10:30] 就是ABC啊，
[00:10:30] 所以大家一起把它写下来。
[00:10:33] 执法。
[00:10:34] 工作一起把它搞定好了，
[00:10:37] 请问大家一下这个里面你们来告诉一下东哥往前跑和目标。
[00:10:44] 如果说我在考试的时候真的不会加动词了，
[00:10:48] 我就比较懒，
[00:10:49] 这个时候往前跑和目标前面加一个动词，
[00:10:52] 后面加一个尾巴，
[00:10:54] 你觉得你会加哪个动词？
[00:10:56] 我反复的告诉大家，
[00:10:57] 这个世界上存在一个国家，
[00:10:59] 它存在其实要么就是打伊朗，
[00:11:01] 要么就是为了我们大自然就是以。
[00:11:04] 往前跑和目标破题，
[00:11:07] 大家同意吧。
[00:11:09] 哎，
[00:11:09] 这是非常重要的一个标题，
[00:11:11] 然后它会产生什么影响呢？
[00:11:14] 对执法工作有影响，
[00:11:15] 对执法工作的影响，
[00:11:17] 前面加个动词，
[00:11:18] 后面加个尾巴。
[00:11:19] 绘就执法工作。
[00:11:22] 各位加个。
[00:11:24] 最后的尾巴新图景，
[00:11:26] 大家把新图景给老师一起搞下来也就可以了，
[00:11:30] 你看这个不就可以了吗？
[00:11:32] 以往前跑和目标破题绘就执法工作新图景。
[00:11:36] 好了，
[00:11:36] 大家觉得可以过吗？
[00:11:38] 但是你们觉得这样拟标题的话，
[00:11:41] 有没有能够体体现出材料当中的题干当中的这个更啊？
[00:11:46] 我觉得没有。
[00:11:47] 没有吧，
[00:11:48] 同学们，
[00:11:49] 那么如果我们想体现这个更，
[00:11:52] 你觉得应该怎么体现？
[00:11:54] 前面还是写一个往前跑。
[00:11:56] 后面还是要写一个目标，
[00:11:59] 你要没有这两个词，
[00:12:01] 那肯定再怎么弄也就不行了。
[00:12:04] 然后请问大家一下，
[00:12:06] 往前跑和目标后面到底应该怎么办？
[00:12:10] 哪位同学可以告诉我？
[00:12:12] 往前跑。
[00:12:13] 维机目标，
[00:12:15] 大家一起写为要。
[00:12:19] 一起把它搞定啊，
[00:12:21] 往前跑，
[00:12:22] 为基目标为要绘就执法工作新图景，
[00:12:26] 好往前跑，
[00:12:27] 为基目标为要。
[00:12:29] 绘就执法工作新图景，
[00:12:31] 大家觉得可以吧？
[00:12:32] 往前跑为基目标为要。
[00:12:34] 绘就执法工作新图景哎。
[00:12:37] 我问大家一下，
[00:12:38] 你们觉得如果在考试的时候，
[00:12:40] 你是选择第一种标题更好，
[00:12:41] 还是选择第二种标题更好，
[00:12:43] 大家认真琢磨一下。
[00:12:45] 就是如果完全根据题干的话，
[00:12:47] 想要体体现出它题干本身呈现的这种递进的逻辑关系，
[00:12:52] 那我觉得第二种是更好的。
[00:12:54] 就是记住了哈，
[00:12:56] 就是你往前跑和目标，
[00:12:58] 如果想体现更的话，
[00:13:00] 后面可以加为基为药为纲，
[00:13:02] 这种关键词为和为魂为骨啊为魂都是可以的。
[00:13:07] 好吧，
[00:13:07] 但是就是你觉得往前跑是不是基础啊？
[00:13:10] 然后呢？
[00:13:11] 就是目标是不是啊？
[00:13:13] 就是核心要义啊，
[00:13:14] 所以我们最好要用第二种，
[00:13:16] 这样能够体现出它的。
[00:13:18] 递进关系好吗？
[00:13:20] 同学们好的，
[00:13:21] 那么我问大家一下，
[00:13:22] 就是如果找完了，
[00:13:24] 这个就是标题总论点之后，
[00:13:26] 我们还要找分论点。
[00:13:28] 这个题目的分论点，
[00:13:30] 大家觉得还需不需要到材料当中去找哪位同学可以告诉我，
[00:13:35] 就是ABC类的分论点，
[00:13:37] 大体可能有几个。
[00:13:38] 有没有同学能够告诉我ABC类的分论点，
[00:13:42] 大体应该可能有三个吧，
[00:13:45] 这三个分别是a对c的影响。
[00:13:47] 这三个分别是b对c的影响，
[00:13:50] 这三个分别是a+b结合起来对c的影响，
[00:13:55] 同意不那么，
[00:13:56] 但是。
[00:13:56] 同学们来看一下，
[00:13:58] 也就是我待会只要写往前跑，
[00:14:00] 对于执法工作的影响，
[00:14:02] 我待会只要写目标，
[00:14:04] 对于执法工作的影响，
[00:14:06] 我待会只要写。
[00:14:07] 往前跑和目标结合起来，
[00:14:09] 对于执法工作的影响，
[00:14:11] 我就把它拿下了。
[00:14:12] 大家觉得可以吗？
[00:14:13] 你会发现，
[00:14:14] 这样完全可以的，
[00:14:16] 但是。
[00:14:16] 请问同学们，
[00:14:17] 这里面有个细节，
[00:14:19] 你觉得往前跑还有跑的目标，
[00:14:22] 需不需要我们做一个解释？
[00:14:25] 需不需要我们做一个说明哪位同学可以告诉我，
[00:14:30] 我觉得是可以的吧就是。
[00:14:32] 在考试的时候，
[00:14:33] 往往他现在给你一个东西是比较虚的，
[00:14:36] 我们就要把它做解释说明，
[00:14:38] 所以别着急，
[00:14:39] 我们带着大家去看一下材料，
[00:14:41] 这个题目的分论点，
[00:14:42] 我问大家一下。
[00:14:43] 就是首先可以从题干当中找出分论点，
[00:14:47] 但是我们待会如果从材料当中也找出分论点。
[00:14:52] 大家觉得我们是应该以题干第一个为优先级，
[00:14:56] 还是以材料第二个为优先级？
[00:14:58] 哪位同学可以告诉我？
[00:15:00] 是不是要以题干为我们的优先级啊？
[00:15:03] 大家同意吧，
[00:15:04] 好了，
[00:15:05] 我们带着大家往下走。
[00:15:07] 那这个时候如果你不放心的话，
[00:15:10] 有没有同学在做这道题目的时候担心说老师啊，
[00:15:14] 就是我需不需要从其他材料当中去找这个分论点？
[00:15:18] 那么这个时候我问大家一下，
[00:15:20] 如果我们能够从题干当中找到分论点，
[00:15:24] 它的优先级肯定是第一位的。
[00:15:26] 但是如果我们能够从材料的这个出处，
[00:15:29] 也就是第五段材料找到分类点，
[00:15:32] 它的优先级是第二位的，
[00:15:34] 但是如果我们从过其他的材料。
[00:15:37] 或其他的客观小题也能够找到分论点，
[00:15:40] 这个排位是第三，
[00:15:42] 现在听懂了吗？
[00:15:43] 这个题目我就问大家一下，
[00:15:45] 已经通过题干可以找出三个分论点了。
[00:15:48] 我们原则上来讲，
[00:15:50] 还需不需要看其他材料，
[00:15:52] 还有其他的客观题，
[00:15:53] 你会发现完全就不需要了，
[00:15:55] 但是我们为了保险起见，
[00:15:57] 还是带着大家看一下。
[00:15:59] 大家看啊，
[00:16:00] 我们就是往前跑和目标，
[00:16:02] 大家觉得鲁师傅广河烧饼这个节目我带着大家做过，
[00:16:06] 你们觉得他四个阶段。
[00:16:08] 如果非要写的话，
[00:16:10] 和往前跑，
[00:16:11] 还有一个目标，
[00:16:12] 能不能挂钩，
[00:16:13] 我就问大家下和往前跑和目标能不能挂钩？
[00:16:17] 各位，
[00:16:18] 你就想这个鲁师傅，
[00:16:19] 你觉得就是他发展都有四个台阶了，
[00:16:22] 四个台阶能不能我们在台阶上往前跑，
[00:16:26] 其实是可以的。
[00:16:27] 但是如果说我们分论点已经定了，
[00:16:30] 鲁师傅这个题目我们可以从鲁师傅的这个材料当中，
[00:16:34] 请问。
[00:16:35] 找什么作为支撑？
[00:16:36] 哪位同学可以告诉我是不是可以把鲁师傅这个材料当中的一些内容作为例子改写去论证啊？
[00:16:44] 还有另外一个大家看。
[00:16:46] 毛所长说，
[00:16:47] 现在我们可以从核心保护区撤离到林区边缘，
[00:16:51] 把这片林海完完整整的还给大山了。
[00:16:55] 请问这个还给大山需不需要往前跑？
[00:16:59] 你们告诉我还给大山需不需要往前跑？
[00:17:03] 哎，
[00:17:03] 你会发现也是需要往前跑的是吧？
[00:17:05] 那你要不往前跑的话，
[00:17:07] 你不可能去还给他山，
[00:17:09] 你也不可能能够彻底，
[00:17:10] 这个我也给大家讲过，
[00:17:12] 对吧？
[00:17:12] 还有我问大家一下，
[00:17:14] 你觉得他做执法案例有没有可能从这个执法案例当中也能够找出？
[00:17:20] 一定的，
[00:17:20] 这种执法的往前跑的例子或目标的例子，
[00:17:24] 你会发现也是可以的，
[00:17:26] 另外一个就是我们搞了一个政务服务，
[00:17:29] 这个政务服务。
[00:17:30] 属于服务的内容，
[00:17:31] 它和我们执法呢，
[00:17:33] 不直接关联，
[00:17:33] 所以第四个我们就不找了，
[00:17:35] 大家觉得可以吗？
[00:17:36] 现在大家能够理解了吧，
[00:17:38] 但是我问大家一下，
[00:17:40] 如果我们在考试的时候。
[00:17:41] 真的就没有管冷师傅，
[00:17:43] 也没有管毛所长，
[00:17:45] 也没有管市场监管局，
[00:17:47] 我们就只用了材料五当中的例子。
[00:17:49] 以及我们又举了社会现实当中的其他的例子，
[00:17:53] 你们觉得这样能行吗？
[00:17:55] 我把所有的可能性都给大家展开，
[00:17:58] 你觉得这样能行吗？
[00:18:00] 这样。
[00:18:00] 是绝对没有问题的啊，
[00:18:02] 这样绝对没有问题的，
[00:18:03] 所以你看啊，
[00:18:04] 你如果能够被社会现实当中的例子，
[00:18:07] 或者你能够类比出社会现实当中的例子，
[00:18:10] 你就直接用。
[00:18:11] 这样的话呢，
[00:18:11] 因为你再看前面的材料可能浪费时间，
[00:18:14] 如果你不能行的话，
[00:18:15] 那你就直接把前面的材料改写一下，
[00:18:18] 当成例子，
[00:18:18] 再把第五个例子也改写了，
[00:18:20] 这样两个结合起来也照样拿高分。
[00:18:22] 所以大作文文无定法，
[00:18:24] 说的就是这个意思好吧，
[00:18:26] 大作文文无定法，
[00:18:28] 说的就是这个意思好嘞。
[00:18:30] 那么，
[00:18:31] 再接着给大家一起往下走，
[00:18:33] 大家来看一下我们还是带着大家，
[00:18:36] 首先呢，
[00:18:37] 要找一下这句话的出处。
[00:18:39] 这句话的出处。
[00:18:41] 这句话的出处，
[00:18:42] 大家知道在第几个自然段吗？
[00:18:44] 同学们，
[00:18:45] 我们把这句话的出处要给大家找出来，
[00:18:48] 这句话的出处在第五个自然段，
[00:18:50] 你们有没有看到？
[00:18:51] 讲义的第五个自然段，
[00:18:53] 讲义的第五个自然段呢，
[00:18:55] 就明确了这段话的出处，
[00:18:57] 要想获得真正的进步，
[00:18:59] 不能只是一味的往前跑，
[00:19:01] 更要明确跑的目标。
[00:19:02] 好了，
[00:19:03] 大家别着急，
[00:19:04] 那么我们这个时候我们说了要解释往前跑，
[00:19:07] 要解释明确跑的目标，
[00:19:09] 所以这个时候第一步我们一定要用。
[00:19:12] 就近原则，
[00:19:13] 前后看一下，
[00:19:14] 大家先不要着急，
[00:19:15] 就近原则哎，
[00:19:17] 带着大家来看一下，
[00:19:18] 我们就近原则。
[00:19:20] 面对这些挑战，
[00:19:21] 一时没有继续盲目推进，
[00:19:23] 而是主动暂停下来。
[00:19:24] 这个时候，
[00:19:25] 我们还没有知道往前跑是在说什么，
[00:19:28] 开展了为期三个月的。
[00:19:29] 调整修正工作布置会上，
[00:19:32] 那个老刘表示，
[00:19:33] 暂时停下来，
[00:19:34] 不要放弃数字化监管，
[00:19:36] 而是让技术更好的服务于我们。
[00:19:39] 请问大家一下，
[00:19:40] 就是你们告诉我，
[00:19:42] 从单纯的从第五个自然段，
[00:19:45] 什么叫做往前跑，
[00:19:47] 哪位同学能够告诉我？
[00:19:49] 单纯的从第五个自然段来看的话，
[00:19:52] 就是我们第五个自然段大概率往前跑，
[00:19:55] 就是在说数字化监管这件事情吧，
[00:19:58] 大家同意吧，
[00:19:59] 然后。
[00:19:59] 明确好的目标，
[00:20:00] 大概率他就是在说服务这件事情吧，
[00:20:03] 你不一定和我一样，
[00:20:04] 你只要差不多也就可以了，
[00:20:06] 各位那有的同学说老师我数字化监管，
[00:20:09] 如果我不想写的话。
[00:20:11] 我能不能想到其他的？
[00:20:13] 数字化我除了数字化和数字化差不多的词，
[00:20:17] 大家能够想到哪几个词可以告诉我？
[00:20:21] 除了数字化，
[00:20:22] 还能够想到哪几个词，
[00:20:23] 因为这个大作文和小题不一样，
[00:20:25] 它有的时候不用原词，
[00:20:26] 原句用相近的也可以给分儿好了，
[00:20:29] 有的同学说科技可以的。
[00:20:30] 各位，
[00:20:31] 除了科技赋能啊，
[00:20:32] 还有什么有没有同学能够给老师再想一下？
[00:20:37] 哎，
[00:20:37] 还有智慧啊，
[00:20:38] 好，
[00:20:38] 我把智慧也给大家写出来好了，
[00:20:41] 除了智慧，
[00:20:42] 还有什么？
[00:20:43] 哪位同学可以告诉我？
[00:20:45] 还除了智慧，
[00:20:46] 还有什么？
[00:20:46] 除了智慧，
[00:20:47] 那还有一个是技术，
[00:20:49] 大家觉得可以吧？
[00:20:50] 除了智慧，
[00:20:51] 还有一个技术。
[00:20:53] 好了，
[00:20:53] 那么我问大家一下，
[00:20:55] 就是这个目标，
[00:20:56] 如果我让大家找几个关键词，
[00:20:59] 你们觉得会找什么样的关键词？
[00:21:02] 哪位同学可以告诉我这个目标要找关键词的话，
[00:21:06] 请问大家下应该找什么目标？
[00:21:08] 这个目标你会发现这里面有一个词叫服务哪位同学可以看到，
[00:21:14] 所以我们把服务找出来。
[00:21:17] 好了，
[00:21:17] 那么服务，
[00:21:18] 如果我把它涉及到那个执法的过程当中，
[00:21:22] 我不想要服务，
[00:21:23] 我用了其他近义词，
[00:21:25] 请问还能够用什么？
[00:21:27] 就是在执法的过程当中，
[00:21:29] 你们能够想到什么词？
[00:21:31] 只要能够有服务这种感觉的，
[00:21:33] 大家再来想一下服务。
[00:21:35] 还有什么？
[00:21:36] 比如说是执法为民，
[00:21:38] 大家觉得行吗？
[00:21:39] 好了，
[00:21:40] 除了知法为民，
[00:21:41] 请问还能够想到什么词？
[00:21:44] 就是服务，
[00:21:45] 还有我们执法的目标，
[00:21:46] 你就假如说不结合这个材料，
[00:21:49] 你能够想到什么？
[00:21:51] 比如说你看啊。
[00:21:52] 我们还能够从管得住到管得好到飞跃，
[00:21:55] 这是一个终局，
[00:21:56] 这也是我们的目标。
[00:21:57] 管得住到管得好，
[00:21:59] 哎，
[00:21:59] 有个同学打出来了，
[00:22:01] 善治。
[00:22:01] 所以我们再写一个良法善治，
[00:22:04] 大家把良法善治给老师打出来。
[00:22:07] 好了，
[00:22:08] 把两法善治给老师打出来，
[00:22:10] 然后呢，
[00:22:10] 我们再随便再来看一下，
[00:22:12] 大家来看一下啊，
[00:22:14] 就是对于我们来讲的话呢。
[00:22:16] 我觉得这些也就是可以的吧，
[00:22:18] 但是如果我们在考试的时候真的就是拿不准啊，
[00:22:22] 它到底是用数字化还是用科技赋能还是用服务还是用良法善事还是用执法为民？
[00:22:29] 请问我们可以怎么操作？
[00:22:31] 哪位同学可以告诉我？
[00:22:33] 我们是不是在考试的时候可以组几个词啊？
[00:22:36] 比如说是科技赋能，
[00:22:38] 比如说是那么智慧。
[00:22:40] 比如说是科技赋能，
[00:22:41] 比如说数字化监管，
[00:22:43] 你就把它都写上，
[00:22:44] 加一个顿号，
[00:22:45] 请问多写了扣不扣分？
[00:22:47] 哪位同学可以告诉我，
[00:22:49] 如果你真的拿不准多写了，
[00:22:51] 同学们记住东哥的话，
[00:22:52] 是不扣分的啊？
[00:22:53] 是不扣分的，
[00:22:54] 你就记住这句话就行了，
[00:22:56] 拿不准就把它写上去，
[00:22:58] 因为你如果不写或者写错了。
[00:23:00] 到时候一旦没有和命题的那个点呢，
[00:23:03] 或者阅卷的那个点挂钩，
[00:23:05] 咱们就压力很大了好吧？
[00:23:07] 好了，
[00:23:07] 也就给大家讲到这下面，
[00:23:09] 我们就把它的分论点给大家框架找出来了，
[00:23:13] 这个就是我们的一个总的一个。
[00:23:16] 标题这个标题没有问题吧？
[00:23:18] 这个标题前半句如果我们想把它写成递进关系，
[00:23:22] 最好要把它写成什么？
[00:23:24] 叫往前跑危机，
[00:23:26] 大家把它一起写一下往前跑。
[00:23:30] 危机OK后半第二后半个目标，
[00:23:34] 要把它写什么目标？
[00:23:38] 为要一起把它搞定往前跑，
[00:23:41] 为基目标为要啊往前跑，
[00:23:43] 为基目标为要会就执法工作新篇章也就可以了。
[00:23:47] 好了，
[00:23:48] 下面我再问大家一下，
[00:23:50] 就是这个题目，
[00:23:52] 接下来应该怎么办？
[00:23:53] 就是要写a对c的影响，
[00:23:56] 要写b。
[00:23:57] 对c的影响要写a和b结合起来，
[00:24:00] 怎么干对c的影响？
[00:24:01] 现在这个逻辑大家能够看懂的话也就可以了，
[00:24:06] 这是a。
[00:24:06] 这是c，
[00:24:08] 这是b，
[00:24:09] 这是c，
[00:24:10] 这是a。
[00:24:11] 加b对c的影响，
[00:24:13] 现在听懂了吗？
[00:24:15] 但是中间的这个是什么东西？
[00:24:18] 哪位同学可以告诉我？
[00:24:20] 中间的这个东西，
[00:24:22] 你会发现数字化，
[00:24:23] 你会发现技术，
[00:24:25] 你会发现执法为民，
[00:24:26] 你会发现良法善治，
[00:24:28] 就是我们的分论点，
[00:24:30] 就是把目标解释一下。
[00:24:32] 就是把往前跑解释一下，
[00:24:34] 那么中间的这个答案，
[00:24:36] 请问大家下是不是唯一的？
[00:24:38] 大家告诉我。
[00:24:39] 是不是唯一的，
[00:24:40] 比如说这个题目在这个地方，
[00:24:42] 我就不写数字时代，
[00:24:44] 我就写科技赋能。
[00:24:46] 我就写科技赋能。
[00:24:49] 然后呢？
[00:24:50] 后面技术创新，
[00:24:52] 我就写成智慧监管，
[00:24:53] 大家觉得可以不？
[00:24:55] 也是可以的吧，
[00:24:57] 也是可以的OK，
[00:24:58] 我拿不准啊，
[00:24:59] 我就多写几个这节课教大家蒙也要把它蒙对。
[00:25:04] 然后呢？
[00:25:04] 比如说这个执法问题，
[00:25:06] 良法善治，
[00:25:06] 那我问大家一下，
[00:25:08] 如果在考试的时候，
[00:25:09] 我就真的没有写良法善治，
[00:25:11] 能够给分不？
[00:25:12] 告诉我，
[00:25:12] 如果我没有写良法善治，
[00:25:14] 也是可以给出来的，
[00:25:16] 这个是绝对没有问题的，
[00:25:17] 我再给大家说一下，
[00:25:19] 就是这加了这个顿号哎。
[00:25:21] 你看一多一加顿号，
[00:25:22] 好像就会让人感觉我们有文采，
[00:25:24] 我们有水平，
[00:25:25] 其实不是，
[00:25:26] 其实完全就是因为我们拿不准，
[00:25:28] 我们多写了一个而已。
[00:25:30] 另外一个，
[00:25:31] 我再问大家一下，
[00:25:32] 这个影响你觉得我写这么多可以不？
[00:25:36] 我写这么多，
[00:25:37] 可以不就这个影响是行政执法与时俱进，
[00:25:40] 提质增效的啊，
[00:25:41] 内生动力与必由之路可以不是行政执法坚守初心，
[00:25:45] 行为之远的根本咨询与核心观念行吗？
[00:25:48] 很多同学跟我说，
[00:25:49] 老师，
