[00:00:00] 先试一下翻页笔热个场好吧，
[00:05:55] 正好你们来APP听直播的话呢，
[00:05:58] 我就给大家搞了这样一个活动，
[00:06:00] 你可你们可以同步在抖音上出这个。
[00:06:03] 摇摇乐抽这个答题卡，
[00:06:05] 现在正在给大家抽答题卡，
[00:06:07] 还有一分钟开奖行吧？
[00:06:09] 哎呀，
[00:06:09] 为了让你们能够参加直播，
[00:06:11] 我也是想尽了一切办法。
[00:06:13] 反正呢，
[00:06:14] 就希望大家都能考上吧，
[00:06:16] 行吧？
[00:06:17] OK，
[00:06:17] 这个大作文的话呢，
[00:06:18] 大家不用怎么预习啊？
[00:06:20] 大作文的话，
[00:06:21] 我觉得大家最重要的，
[00:06:22] 你只要在这个阶段能够把总论点，
[00:06:25] 还有分论点自己找出来也就可以了。
[00:06:27] 好吧，
[00:06:28] 这个大作文最重要的是把总论点分论点给我找出来，
[00:06:31] 我觉得也就够用了啊，
[00:06:33] 好了，
[00:06:33] 所有的同学，
[00:06:34] 大家如果能够听见的话，
[00:06:35] 把你具体的城市的名字敲在评论区。
[00:06:38] 让我看一下大家都是哪个地方的同学，
[00:06:41] 这个互联网的创业呢，
[00:06:43] 有的时候也是非常好的哈，
[00:06:45] 你可以很短的时间之内能够认识到全国各地的同学。
[00:06:49] 好吧OK，
[00:06:49] 我大体看到了所有的同学，
[00:06:52] 非常感谢大家，
[00:06:53] 我是袁东给大家呢，
[00:06:55] 正式开始今天的直播。
[00:06:57] 今天我们要给大家讲一道非常重要的题目，
[00:07:01] 这道题目呢，
[00:07:02] 是一个大总文的题目，
[00:07:03] 大家来看一下。
[00:07:05] 给定材料四中提到，
[00:07:07] 我们应当把更多精力投入在种树，
[00:07:11] 而非静待成熟在摘果。
[00:07:13] 请你对这句话进行深入系统的思考，
[00:07:17] 联系实际，
[00:07:17] 自拟题目写一篇文章，
[00:07:19] 我现在问大家一下，
[00:07:21] 大家觉得看完这个题目。
[00:07:23] 你觉得它是一个单主题，
[00:07:26] 还是一个双主题，
[00:07:27] 还是一个多主题？
[00:07:29] 同学们，
[00:07:30] 抓紧时间告诉我一下。
[00:07:32] 这个题目你如果看一下的话，
[00:07:35] 它就是而非而非，
[00:07:36] 它是基本上来讲，
[00:07:38] 而非静待成熟再摘果，
[00:07:40] 我前面给大家说过的。
[00:07:42] 如果大家在考试的时候遇到这种表达，
[00:07:46] 我们如果只能保留一句话，
[00:07:48] 是保留正面的表述，
[00:07:50] 还是保留负面的表述？
[00:07:52] 大家哪位同学能够告诉我是保留正面的表述，
[00:07:56] 还是保留负面的表述？
[00:07:58] 是不是要保留？
[00:07:59] 正面的表述对吧？
[00:08:01] 也就是那正面的表述，
[00:08:03] 我问大家一下，
[00:08:04] 咱们一开始阅卷的时候，
[00:08:06] 首先要看我们的。
[00:08:08] 总论点还有分论点是否正确？
[00:08:11] 总论点它应该等于什么？
[00:08:13] 哪位同学能够直接告诉我。
[00:08:15] 总论点我反复给大家说了，
[00:08:18] 它就应该等于标题吧，
[00:08:21] 标题的话，
[00:08:22] 前半句应该写什么？
[00:08:24] 前半句是不是应该写一个对策？
[00:08:27] 后半句应该写什么？
[00:08:29] 应该写一个影响大家同意吧？
[00:08:32] 好了，
[00:08:33] 那么我问大家一下对策，
[00:08:35] 对于我们来讲的话，
[00:08:38] 你觉得题干当中哪个词是在说对策？
[00:08:42] 有没有同学能够看出来是第一句话在说对策，
[00:08:46] 还是第二句话在说对策？
[00:08:48] 我来看一下，
[00:08:49] 我们应当把更多精力投入在。
[00:08:51] 种树投入种树，
[00:08:53] 大家看这明显的就是在说一个对策，
[00:08:58] 所以我们要把种树。
[00:09:00] 写在前面，
[00:09:01] 大家把众数写在我们的对策里面也就可以了，
[00:09:05] 当然可以加一个引号。
[00:09:07] 那么我要把它变成一个对策，
[00:09:09] 前面加一个动词，
[00:09:11] 后面加一个尾巴，
[00:09:12] 大家觉得应该怎么加？
[00:09:14] 哪位同学先告诉我。
[00:09:15] 先不要想那个万能的，
[00:09:17] 尽量的想一个个性化的，
[00:09:19] 我们可以想深耕种树之道。
[00:09:22] 一起把它写下来，
[00:09:25] 深耕种树之道。
[00:09:27] 哎。
[00:09:27] 深耕种树之道，
[00:09:28] 请问大家一下，
[00:09:30] 它有什么好处？
[00:09:31] 它有什么影响？
[00:09:32] 你看啊，
[00:09:33] 你这个更多精力投入在种树。
[00:09:35] 不要啊，
[00:09:36] 静待成熟，
[00:09:37] 最终呢，
[00:09:38] 你是更多精力种熟之后，
[00:09:40] 你摘的果，
[00:09:41] 而不是静待成熟之后再摘的果。
[00:09:44] 所以我们最后的结果或者是影响一定是摘果，
[00:09:48] 各位这个摘果的话，
[00:09:50] 前面加一个动词，
[00:09:52] 后面加一个尾巴，
[00:09:53] 大家觉得你会写成哪一个标题？
[00:09:56] 比较合适深耕种树之道，
[00:09:58] 哎，
[00:09:59] 我就想起来袁东老师给我说的谱写。
[00:10:03] 摘果。
[00:10:04] 新篇大家觉得可以不深耕种树之道，
[00:10:08] 谱写摘果。
[00:10:09] 新篇大家觉得可以啊，
[00:10:11] 这个是非常重要的。
[00:10:13] 深耕种树之道，
[00:10:15] 谱写摘果新篇。
[00:10:16] 好了，
[00:10:17] 所有的同学。
[00:10:18] 这个大家觉得可以过的话，
[00:10:20] 就给老师打个过，
[00:10:22] 记住这个题目，
[00:10:23] 我最怕大家审题的时候出现偏差，
[00:10:26] 它是这个题目整体它是在说。
[00:10:29] 投入到种树上去摘果，
[00:10:31] 而非静待成熟再摘果，
[00:10:34] 所以种树和摘果它不是双主题。
[00:10:38] 现在听懂了吗？
[00:10:40] 种树它是指的对策，
[00:10:43] 一静待成熟，
[00:10:44] 它是指的对策，
[00:10:46] 二。
[00:10:47] 但是这个经在成熟不重要，
[00:10:49] 最终结果它是最后指的一个影响，
[00:10:51] 现在觉得可以过的话，
[00:10:53] 给老师打个一，
[00:10:54] 但是我们拿到这样一个题目。
[00:10:57] 他如果是在材料当中的话，
[00:10:59] 你尽量的还要看一下材料当中的出处，
[00:11:03] 这个时候就会更加保险一些。
[00:11:05] 那么，
[00:11:06] 另外一个一开始的时候定总框架，
[00:11:09] 除了找总论点，
[00:11:10] 还需要找什么？
[00:11:11] 哪位同学可以告诉我？
[00:11:13] 还需要找分论点吗？
[00:11:14] 大家能够同意吗？
[00:11:16] 还需要找分论点吗？
[00:11:17] 那么分论点的话，
[00:11:19] 我请问大家一下。
[00:11:20] 首先，
[00:11:21] 分论点的角度是指什么？
[00:11:23] 哪位同学可以告诉我？
[00:11:26] 分论点的哎，
[00:11:27] 自选角度角度是指什么角度？
[00:11:30] 永远是指两个，
[00:11:31] 第一个是对策，
[00:11:33] 第二个是影响，
[00:11:34] 这个没有问题吧？
[00:11:36] 第二个我问大家一下分论点的来源，
[00:11:39] 大家觉得是指什么分论点可以来源于什么分论点可以来源于题干吗？
[00:11:45] 好了，
[00:11:46] 请问大家一下这个题目题干能不能直接找出分类点？
[00:11:50] 你会发现其实这个题目要找分类点的话是找不出来的吧？
[00:11:56] 那么，
[00:11:56] 我问大家一下。
[00:11:57] 分论点还可以来自于所在材料吧。
[00:12:02] 所在材料。
[00:12:03] 好了，
[00:12:04] 还可以来源于。
[00:12:07] 其他材料。
[00:12:10] 其他材料。
[00:12:13] 或者是客观题。
[00:12:15] 请问大家一下，
[00:12:17] 他们这三个有没有优先级？
[00:12:20] 就是如果能够来源于题干，
[00:12:22] 我们还需不需要从所在材料当中找？
[00:12:26] 不需要题干，
[00:12:27] 记住了优先级。
[00:12:28] 排老一一定给我记住了，
[00:12:30] 那么如果我们这句话前后就能够找出，
[00:12:34] 比如说三个分论点。
[00:12:36] 它的排序是第二。
[00:12:39] 大家一起写排二。
[00:12:41] 好了，
[00:12:41] 然后如果这个分论点来自于其他材料和其他的客观题，
[00:12:47] 这个是排三。
[00:12:49] 现在大家现在能够听懂了吗？
[00:12:51] 这个是排三啊，
[00:12:52] 就记住了好了，
[00:12:53] 那我们就带着大家来看一下这个材料，
[00:12:56] 我先不看前面的材料，
[00:12:58] 我就先看。
[00:12:59] 这句话的出处，
[00:13:00] 请问大家下你们在材料当中能不能看到这句话？
[00:13:04] 哪位同学可以看到我们应当把更多精力投入在种树而非静在？
[00:13:10] 成熟再摘果，
[00:13:11] 那你会发现前面的都是在说一个具体的例子，
[00:13:15] 这段话是在干什么？
[00:13:17] 哪位同学可以告诉我？
[00:13:19] 这段话是不是在说一个规范的表述啊？
[00:13:22] 各位，
[00:13:22] 那么这个时候我请问大家一下，
[00:13:25] 我们的总论点是指什么？
[00:13:27] 哪位同学可以告诉我？
[00:13:29] 你找分类点的时候一定要记住了它的目标导向，
[00:13:33] 还是在说种树，
[00:13:34] 大家同意吧，
[00:13:35] 是不是在说种树，
[00:13:37] 那么这个种树。
[00:13:38] 请问大家一下，
[00:13:39] 我们要找分类点是当然最好把对策和影响全部找出来，
[00:13:44] 但是对策和影响如果你的智商和我的智商差不多。
[00:13:49] 咱们都属于那种CPU，
[00:13:50] 要冒烟的人，
[00:13:51] 请问大家一下对策和影响，
[00:13:53] 我们首先找谁？
[00:13:55] 哪位同学可以告诉我？
[00:13:56] 是不是首先找对策，
[00:13:58] 找对策主要到材料当中找什么样的词语？
[00:14:02] 是不是第一个找动词啊？
[00:14:04] 是不是第二个找事情啊？
[00:14:06] 好了，
[00:14:07] 那我们来看一下在这句话的前后，
[00:14:10] 大家给老师在评论区敲出四个字。
[00:14:13] 就近原则，
[00:14:14] 大家把就近原则给老师打出来。
[00:14:17] 啊，
[00:14:18] 我们来看一下能不能找到相关的对策？
[00:14:21] 最初这个肯定不是对策，
[00:14:24] 我也很惊讶，
[00:14:25] 也很好奇，
[00:14:26] 也不是对策，
[00:14:27] 是怎样一个地方对大学生这么好？
[00:14:31] 请问大家一下，
[00:14:33] 对大学生好。
[00:14:34] 算不算是一个对策？
[00:14:37] 同学们，
[00:14:38] 我上课对你好哎，
[00:14:40] 我平常对你好，
[00:14:42] 算不算是对策？
[00:14:44] 当然算对策，
[00:14:45] 但是这个好，
[00:14:46] 它是一个不规范的表述，
[00:14:48] 有没有同学能够告诉我这个好是指的什么？
[00:14:51] 你会发现这是一个小琴吧，
[00:14:54] 这是一个小琴吧，
[00:14:56] 我们来看一下这个小琴。
[00:14:59] 你会发现怎么对他好呢？
[00:15:02] 在我们的前面这一段里面都有的啊，
[00:15:06] 这个时候小琴在县里面的吃住行调研。
[00:15:10] 都有处理人帮他安排联络，
[00:15:13] 然后呢，
[00:15:13] 还给他搞一些奖金，
[00:15:15] 请问大家一下这个叫什么？
[00:15:18] 就是我给你安排你的呃，
[00:15:20] 吃你的住你你我在线下在西安线下开了一个基地班，
[00:15:25] 然后呢，
[00:15:26] 你到我这个地方，
[00:15:27] 我给你。
[00:15:28] 安排你吃安排你住安排你睡安排你上课，
[00:15:31] 然后呢？
[00:15:32] 你觉得从我的角度上来讲，
[00:15:34] 这叫对你干什么？
[00:15:35] 大家这个好，
[00:15:36] 但是这个好是指的什么好？
[00:15:38] 同学们，
[00:15:38] 这这这有的同学说薪资待遇好不？
[00:15:41] 是不是大家再想一下就是？
[00:15:43] 你到我西安的线下基地班上课，
[00:15:46] 然后呢？
[00:15:46] 我7月14号开始上课，
[00:15:48] 然后我七月十一十二十三支持你试听三天，
[00:15:52] 这三天呢，
[00:15:53] 你只要来我就给你安排住宿。
[00:15:55] 我还管你吃饭，
[00:15:56] 然后呢？
[00:15:57] 这三天呢？
[00:15:57] 你只要来，
[00:15:58] 我还给你开空调，
[00:15:59] 我还给你一对一的辅导，
[00:16:01] 这叫什么？
[00:16:02] 哪个规范词？
[00:16:03] 是不是在说服务？
[00:16:04] 这个就是在说服务哎，
[00:16:06] 把它搞定好了，
[00:16:07] 那我问大家一下，
[00:16:08] 大家再来看一下你在这个地方有服务，
[00:16:11] 另外你可能还没有钱，
[00:16:13] 我们还给你点奖金。
[00:16:15] 这个奖金可以把它写成什么？
[00:16:17] 哪位同学可以告诉我？
[00:16:19] 就是哎呀，
[00:16:20] 你你我怕你真的就是到时候活不起了是吧？
[00:16:24] 我不叫扶贫。
[00:16:25] 这个可能给你一个保障，
[00:16:27] 或者是激励都是可以的，
[00:16:29] 反正呢，
[00:16:29] 这个词答案不是唯一的好吧好的，
[00:16:32] 我们再来看一下，
[00:16:33] 请问大家一下这个。
[00:16:35] 是怎样一个地方对大学生服务保障这么好？
[00:16:38] 大家把服务保障或服务奖励或服务激励给老师打在评论区就可以了。
[00:16:44] 这个就是我们的第一个对策，
[00:16:46] 先别着急，
[00:16:47] 我们先把它。
[00:16:48] 找一下啊，
[00:16:49] 不要怕找错了好吧，
[00:16:51] 大家看设m线，
[00:16:52] 精心谋算的一大一笔人才大账。
[00:16:55] 这句话说的太虚了，
[00:16:57] 精心谋算就是指的我们服务保障方面谋算好吗？
[00:17:01] 还是在说服务保障？
[00:17:03] 随着劳动力的代际更替，
[00:17:05] 这个随着。
[00:17:05] 请问大家下是在说什么要素？
[00:17:08] 是不是在说一个背景啊？
[00:17:10] 它不是一个对策未来县域的产业发展趋势，
[00:17:14] 势必更依赖年轻人，
[00:17:15] 这是对于未来的一个。
[00:17:17] 判断未来的一个展望，
[00:17:19] 它依然不是指的我们县里面的对策。
[00:17:22] 招财引智的目标也将前移。
[00:17:25] 哎，
[00:17:25] 这个也是指的我们哎，
[00:17:27] 就是未来的一个对策，
[00:17:29] 别着急，
[00:17:29] 这就需要县域转变人才观。
[00:17:32] 请问大家一下，
[00:17:33] 转变人才观是指的什么要素？
[00:17:36] 哪位同学可以告诉我，
[00:17:38] 转变人才观是不是它依然是指一个对策？
[00:17:42] 所以大家第二个叫人才观念给老师打出来。
[00:17:46] 人才观念，
[00:17:47] 因为我们前面有四个字，
[00:17:49] 这个地方写人才观呢，
[00:17:51] 可能还不太好赋能其起航，
[00:17:53] 这是不是代表一个影响啊？
[00:17:55] 伴随其成长，
[00:17:56] 也是代表一个影响啊。
[00:17:58] 我们应当把更多的精力投入在种树，
[00:18:00] 而非静待成熟再摘果，
[00:18:02] 这个是总论点。
[00:18:03] 好，
[00:18:03] 这个不用管了，
[00:18:05] 二零一五年直接把它叉掉h线就提出了未来人才储备计划通过。
[00:18:11] 家业归巢返乡返，
[00:18:13] 家乡寒暑假大活动等品牌活动，
[00:18:16] 我问大家一下，
[00:18:18] 这个品牌活动。
[00:18:19] 算不算？
[00:18:20] 或者是提出啊储备计划算不算是一个对策算就给老师打个一不算就给老师打个二。
[00:18:29] 各位，
[00:18:30] 我觉得算我就保留一个啊，
[00:18:32] 人才计划，
[00:18:33] 或者我保留一个品牌活动都是可以的，
[00:18:36] 所以大家一起写这个叫。
[00:18:38] 品牌活动。
[00:18:40] 大家一起写品牌活动，
[00:18:42] 因为它是等它有一个总结的作用，
[00:18:45] 当然你就说我就就是人才计划，
[00:18:47] 我觉得也是没有问题的，
[00:18:49] 这两个词我觉得都是可以的啊。
[00:18:52] 那么，
[00:18:52] 这两个词可以替换千方百计建立连接，
[00:18:56] 这是品牌活动带来的一个结果。
[00:18:59] 那么，
[00:18:59] 眼光外拓还是？
[00:19:01] 在啊，
[00:19:01] 吸引更多的流入他，
[00:19:03] 你看了前面的团长依然是在搞品牌活动或者是人才计划都是可以的。
[00:19:09] 这两个词大家用哪个都可以，
[00:19:11] 现在大家听懂了吗？
[00:19:13] 但是他俩说的是一件事，
[00:19:15] 这个时候。
[00:19:16] 我就请问大家下，
[00:19:17] 我们问大家下，
[00:19:18] 我们一共找到了三个词，
[00:19:20] 第一个词叫服务保障，
[00:19:22] 第二个词叫人才观念，
[00:19:24] 第三个词比如说叫品牌活动，
[00:19:26] 或者是人才计划。
[00:19:27] 这两个你选任何一个，
[00:19:29] 我觉得都可以，
[00:19:30] 请问大家一下这三个词可不可以作为我们红色字体部分的总论点？
[00:19:36] 能不能自圆其说？
[00:19:37] 如果能自圆其说，
[00:19:39] 我就不再从其他地方找了。
[00:19:41] 请问大家一下，
[00:19:42] 能否自圆其说？
[00:19:43] 能否自圆其说？
[00:19:45] 以及它是不是原词原句？
[00:19:47] 各位能否自圆其说的，
[00:19:48] 就给老师敲个一能否自圆其其说的，
[00:19:51] 能自圆其说的，
[00:19:52] 就给老师敲个，
[00:19:53] 一是原词原句的，
[00:19:55] 就给老师敲个二，
[00:19:56] 我觉得就可以了。
[00:19:57] 那么这个时候我们要把它进行一个排序，
[00:20:01] 大家觉得服务保障，
[00:20:02] 人才观念，
[00:20:03] 品牌活动，
[00:20:04] 哪一个可能会排在第一个位置？
[00:20:07] 有没有同学能够告诉我？
[00:20:09] 就是人才观念品牌活动。
[00:20:12] 啊，
[00:20:12] 还有一个啊，
[00:20:13] 就是服务保障，
[00:20:14] 我们觉得你觉得最重要的要做一件事情，
[00:20:18] 是不是应该先从观念开始啊？
[00:20:21] 然后第二个有了关键之后，
[00:20:23] 我们就可能要搞一个活动，
[00:20:25] 搞这个活动的过程当中呢，
[00:20:28] 要做好服务。
[00:20:29] 大家觉得可以不可以，
[00:20:30] 不所以的话，
[00:20:31] 我的三个分论点就近原则就直接出现了好了，
[00:20:35] 另外一个有的同学说老师那我不放心，
[00:20:38] 我不知道前面的小题还要不要看前面的材料？
[00:20:41] 还要不要看？
[00:20:42] 那我们就着带着大家看一下前面的三则材料，
[00:20:46] 它是在讲一个种树。
[00:20:48] 这个种树呢，
[00:20:49] 明显是指的与人才有关的种树，
[00:20:53] 也就是在说引进人才或者是培养人才之类的。
[00:20:58] 那我们来看一下，
[00:20:59] 大家看给定材料一，
[00:21:01] 你觉得和人才有没有关系，
[00:21:03] 大家虽然不需要去把材料一全部读一遍，
[00:21:07] 你觉得只看这个客观小题，
[00:21:09] 你觉得。
[00:21:10] 它有关系吗？
[00:21:11] 我们要综合判定，
[00:21:12] 你会发现没有关系，
[00:21:14] 不要硬扯好了，
[00:21:15] 我问大家一下，
[00:21:16] 就是这个讲的是沟渠坑塘管理存在的问题。
[00:21:19] 它和我们培养人才，
[00:21:21] 县里面培养人才有关系吗？
[00:21:23] 你会发现依然没有关系，
[00:21:26] 直接叉掉。
[00:21:26] 好了，
[00:21:27] 我们再来看一下这个政协委员要搞的是乡村档案管理工作和培养人才有关系吗？
[00:21:33] 和引进人才有关系吗？
[00:21:35] 依然没有关系。
[00:21:36] 所以我们这个时候绝对就又有了一层自信心，
[00:21:40] 你看你综合判定你就知道哦，
[00:21:43] 原来。
[00:21:43] 这个分论点呢，
[00:21:45] 就是这个总论点，
[00:21:46] 那么它的分论点呢，
[00:21:48] 就来自于服务保障它的分论点呢，
[00:21:50] 就来自于人才观念，
[00:21:52] 它的分论点呢，
[00:21:53] 就来自于人才计划。
[00:21:55] 或者是品牌活动，
[00:21:56] 大家现在觉得可以过的话，
[00:21:58] 就给老师打个过好吧，
[00:21:59] 你觉得可以过的话，
[00:22:01] 就给老师打个过。
[00:22:02] 好，
[00:22:02] 那我们整个的分论点就出来了，
[00:22:05] 请问大家下有没有同学告诉我这个分论点我用的是一个什么样的模式？
[00:22:12] 分论点一共只有三种方式，
[00:22:15] 第一种是总论点加对策。
[00:22:18] 第二种是总论点。
[00:22:20] 加上一个影响，
[00:22:23] 第三种是总论点加。
[00:22:26] 对策，
[00:22:26] 再加上一个影响大家现在能够看懂吗？
[00:22:30] 请问大家一下这个题目，
[00:22:32] 深耕种树之道是在说什么？
[00:22:34] 是不是在说一个总论点啊，
[00:22:37] 需要优化服务保障，
[00:22:38] 是不是在说分论点的对策后值留财沃土，
[00:22:42] 是不是指的一个影响啊？
[00:22:44] 现在大家能够听懂了吗？
[00:22:46] 好了，
[00:22:47] 我问大家一下，
[00:22:48] 你们觉得如果在考试的时候，
[00:22:50] 你能够写出这样的分论点，
[00:22:52] 你觉得你是否能够做到相对比较满意？
[00:22:55] 有没有觉得这个有点像人民日报的文风啊？
[00:22:59] 我觉得还是可以的吧，
[00:23:01] 你看在这里边，
[00:23:02] 只要抓住关键词人才观念。
[00:23:04] 这是材料当中的原词原句吧，
[00:23:06] 在抓住关键词人才计划或者是品牌活动，
[00:23:09] 也是材料当中的原词原句吧，
[00:23:11] 抓住关键词。
[00:23:12] 这个服务保障，
[00:23:13] 这个就是需要我们自己稍微的把它总结一下也就可以了，
[00:23:17] 这个词呢，
[00:23:18] 你写成服务激励都是可以的啊。
[00:23:20] 就是不一定和我一样，
[00:23:22] 只要说的合情合理也就可以了，
[00:23:24] 行吗？
[00:23:24] 好了，
[00:23:25] 我现在问大家一下，
[00:23:27] 就是这个分论点，
[00:23:28] 大家觉得如果我想把它润色一下的话，
[00:23:31] 还有没有办法把它润色？
[00:23:33] 如果在这个地方加三个字，
[00:23:35] 大家觉得会加哪三个字？
[00:23:37] 把你们背的三个字给我敲在评论区，
[00:23:40] 如果没有背的同学就直接打个猫猫猫啊，
[00:23:43] 我就算原谅你这一次。
[00:23:45] 各位，
[00:23:45] 我们大家下需要在转变人才观念上干什么谋突破，
[00:23:51] 大家觉得可以吧？
[00:23:53] OK，
[00:23:53] 需要在打造品牌活动上创新路，
[00:23:58] 大家觉得可以吧？
[00:24:00] 创新路，
[00:24:01] 大家觉得可以吗？
[00:24:03] 需要在优化服务保障上做文章，
[00:24:06] 大家觉得可以吗？
[00:24:08] 哎，
[00:24:08] 我给大家准备的那些组。
[00:24:10] 你如果记忆力不好，
[00:24:12] 你就只背一组，
[00:24:13] 但是这一组呢，
[00:24:14] 你尽量的就是准备的，
[00:24:16] 只适合你自己也就行了，
[00:24:17] 如果你怕和别人重复，
[00:24:19] 你再用豆包。
[00:24:20] 啊，
[00:24:20] 或者deep seek让它给你形成一个属于你自己的个性化的那一组不就行了吗？
[00:24:25] 是吧？
[00:24:26] 我只需要你背一组就行了，
[00:24:28] 考试的时候给我加上去，
[00:24:29] 没问题的。
[00:24:30] 啊，
[00:24:30] 像这样的三个词背一组一分钟就背下来了，
[00:24:34] 这辈子都忘不了好了，
[00:24:35] 大家觉得这个能够看懂的话就给老师打飞机，
[00:24:39] 这个就是我们整篇文章的。
[00:24:41] 框架这个就是我们整篇文章的框架，
[00:24:44] 当然有的同学说老师，
[00:24:45] 我就问你一下，
[00:24:46] 如果我在考试的时候我。
[00:24:48] 总论点加对策，
[00:24:50] 再加上一个影响，
[00:24:52] 我不想写总论点的话，
[00:24:54] 大家觉得可以不？
[00:24:56] 也就是他只写对策和影响，
[00:24:58] 你们觉得可以吗？
[00:25:00] 也就是把这句话直接删去，
[00:25:02] 把需要也直接删去，
[00:25:04] 他就直接写转变人才观念，
[00:25:06] 谋定中枢方向，
[00:25:08] 打造品牌活动，
[00:25:09] 搭建育苗舞台。
[00:25:10] 优化服务保障后置流三过土，
[00:25:12] 大家觉得可以吧？
[00:25:14] 但是如果后面这个万能的影响，
[00:25:16] 哎呦我的妈呀，
[00:25:17] 我实在想不起来，
[00:25:18] 请问大家下应该怎么办？
[00:25:20] 我就是你们肚子里面的小蛔虫，
[00:25:23] 请问应该怎么办？
[00:25:25] 转变人才观念，
[00:25:26] 我可以写一个。
[00:25:27] 共创。
[00:25:29] 美好。
[00:25:32] 未来大家觉得可以吧，
[00:25:34] 那么打造品牌活动，
[00:25:36] 我可以写一个谱写。
[00:25:40] 发展。
[00:25:41] 芯片可以吧？
[00:25:45] 我问大家一下，
[00:25:46] 优化服务保障，
[00:25:47] 我可以写一个什么？
[00:25:49] 哪位同学可以跟告诉我那么优化服务保障，
[00:25:54] 我可以绘就。
[00:25:55] 那么会就什么？
[00:25:59] 绘就哎呦，
[00:26:00] 这个绘就美好蓝图和前面有点重复，
[00:26:04] 我可以把它换一个，
[00:26:06] 我可以叫什么东西？
[00:26:08] 哪位同学开创？
[00:26:11] 事业。
[00:26:13] 新局，
[00:26:13] 大家觉得可以吧？
[00:26:15] 你看啊，
[00:26:15] 这些东西呢，
[00:26:16] 相对比较万能的，
[00:26:17] 大家口袋里面准备几组，
[00:26:19] 如果你在考试的时候实在紧张。
[00:26:22] 因为这个影响呢，
[00:26:23] 它的答案不是唯一的，
[00:26:25] 它不像对策你这两个词呢，
[00:26:27] 尽量的要覆盖到位，
[00:26:28] 行不行？
[00:26:29] 好了，
[00:26:29] 那我问大家一下，
[00:26:30] 有的同学说老师。
[00:26:32] 我能不能先写一个分论点的对策？
[00:26:35] 再写一个分论点的影响。
[00:26:38] 然后呢，
[00:26:39] 再把那个总论点拆成三个影响，
[00:26:42] 再写一个分论点的影响。
[00:26:45] 就是深耕种收之道，
[00:26:47] 我把它再拆成三个，
[00:26:48] 你觉得可以吗？
[00:26:50] 大家觉得这样写行不行？
[00:26:52] 当然是可以的，
[00:26:53] 记住我跟你说的话，
[00:26:55] 文无定法。
[00:26:56] 只要你合情合理，
[00:26:57] 就完全没有问题啊，
[00:26:58] 只要大家说的合情合理，
[00:27:00] 就是没有问题的，
[00:27:01] 这样写也是没有问题的，
[00:27:02] 好了，
[00:27:03] 整个的这种框架，
[00:27:04] 如果大家能够。
[00:27:05] 看明白的话就给老师打个过也就可以了，
