[00:00:00] 好好吧。
[00:05:11] 请问你想听什么呢？
[00:05:14] 小爱同学播放南山南。
[00:05:18] 好呀，
[00:05:19] 小爱和你一起欣赏音乐会员，
[00:05:23] 尊享歌曲张碧晨等的南山南不是啊。
[00:05:29] 小爱同学播放开始懂了。
[00:05:38] 好的，
[00:05:39] 小爱想陪你一起听会员歌曲，
[00:05:45] 崔燕姿的开始懂了。
[00:06:00] 我竟然没有掉头，
[00:06:04] 最残忍那一刻，
[00:06:07] 静静看你走。
[00:06:10] 一点都不想我，
[00:06:14] 有的人会感到温柔是透彻的，
[00:06:22] 懂得。
[00:06:23] 爱情是流动的，
[00:06:27] 不永恒的，
[00:06:29] 何必激动着要理由。
[00:06:34] 想起你只是怕伤害我，
[00:06:38] 不是骗我，
[00:06:39] 可爱到谁会舍得把我的梦吵醒了。
[00:06:46] 宣布幸福不会来了，
[00:06:50] 用心酸微笑去原谅了，
[00:06:54] 也分裂了。
[00:06:55] 可昨天还是好的，
[00:06:59] 你明天是自己的还是你忘了快乐是？
[00:07:07] 你的名字。
[00:07:16] 啊啊啊。
[00:07:25] 我竟然没有掉头，
[00:07:29] 最残忍的一刻，
[00:07:32] 轻轻跟你走。
[00:07:36] 一点都不想我的外人会变得温柔。
[00:07:46] 是你说的懂吗？
[00:07:49] 爱情上有风浪，
[00:07:51] 不要我担待，
[00:07:53] 何必计较这样自由。
[00:07:57] 小雨同学暂停。
[00:08:03] 好了，
[00:08:04] 所有的同学。
[00:08:05] 刚才给大家放了一首所谓的冷门歌手孙燕姿的歌啊，
[00:08:10] 我也不知道大家能不能听懂孙燕姿的歌是吧？
[00:08:14] 就是想想孙燕姿的话呢，
[00:08:16] 唱的这首歌叫开始懂了，
[00:08:18] 我最近的话呢，
[00:08:19] 看到你们很多人的私信，
[00:08:21] 我也觉得开始懂了啊。
[00:08:22] 很多人的话呢，
[00:08:24] 只有失恋之后才能够懂得曾经的男朋友或者女朋友对于自己的。
[00:08:30] 这种真挚的感情好吧，
[00:08:32] 我也希望大家呢，
[00:08:34] 永远像大话西游里面一样，
[00:08:36] 不要去辜负你人生当中那些非常纯粹的爱情。
[00:08:40] 友情还有其他的亲情好吧，
[00:08:42] 所有的同学把你们家乡的名字敲在评论区，
[00:08:46] 让我看看你们都是哪个地方的人？
[00:08:49] 然后呢？
[00:08:49] 我们看看你在直播间里面呢，
[00:08:51] 能不能遇到同一个城市的另外一个他啊？
[00:08:55] 将来的话呢，
[00:08:55] 我们希望呢，
[00:08:56] 大家顺利的在这个城市都能够上岸。
[00:08:59] 凭借城市里面你们评论区里面手机的尾号，
[00:09:02] 还能够相遇哦，
[00:09:04] 你听过袁东老师的课吗？
[00:09:05] 你的尾号是多少好吧？
[00:09:07] 好了，
[00:09:07] 我先问大家一下，
[00:09:09] 这节课的题目，
[00:09:10] 你们觉得难还是不难？
[00:09:12] 这是二六年国江浙江省考刚刚考过的一道题目。
[00:09:16] 他说，
[00:09:16] 结合给定材料，
[00:09:18] 围绕健康浙江打造小切口与大健康的。
[00:09:24] 辩争之道话题联系实际自选角度，
[00:09:27] 自拟题目写一篇讨论型的文章，
[00:09:30] 我现在问大家一下，
[00:09:32] 你们觉得这个题目难还是？
[00:09:34] 不难，
[00:09:34] 大家看认真的审一下这个题目，
[00:09:37] 如果在考试的时候，
[00:09:39] 你的脑袋像这个PPT一样，
[00:09:41] 哎，
[00:09:41] 一下子是空白的，
[00:09:42] 请问这个时候你应该记住了，
[00:09:45] 袁东老师站在你身后像个大哥哥。
[00:09:47] 一样问你一个事哎，
[00:09:49] 帮你作弊怎么帮你作弊认真的同意一下哎，
[00:09:53] 认真的想一下，
[00:09:54] 这个时候袁东老师应该站在你身后像个大哥哥一样说。
[00:09:58] 这个题目到底是单主题还是双主题还是多主题，
[00:10:04] 认真的琢磨一下是不是大概率看到小切口，
[00:10:08] 看到大健康？
[00:10:10] 它应该是双主题啊，
[00:10:12] 双主题在命题的时候可能有几种命题方式。
[00:10:17] 大概率有两种吧，
[00:10:19] 一种是叫AB，
[00:10:20] 一种是叫ABC吧？
[00:10:21] 好了，
[00:10:22] 那我问大家一下这个题目，
[00:10:25] 它本质上是在说AB还是在说ABC？
[00:10:28] 如果是ABC的c的话，
[00:10:30] 这个c指的是某一个领域小切口大健康，
[00:10:35] 请问大家一下，
[00:10:37] 它应该指的是？
[00:10:38] 某一个领域还是指的所有领域，
[00:10:41] 你们认真的告诉我，
[00:10:43] 它应该是指的健康这个领域吧。
[00:10:46] 所以表面上看，
[00:10:47] 它应该是属于ABC没有问题，
[00:10:50] 但是认真的在看后面，
[00:10:52] 它是让你谈到AB之道。
[00:10:54] 呃，
[00:10:54] 让你谈的是辩证之道，
[00:10:56] 辩证之道又是AB之道。
[00:10:59] 所以请问大家一下，
[00:11:01] 这个双主题最好，
[00:11:02] 我们是选择第一种作为我们的啊，
[00:11:05] 就是分论点还是选择第二种的结构作为我们的分论点？
[00:11:10] 认真的琢磨一下，
[00:11:11] 记住了，
[00:11:12] 人家是中间有个语，
[00:11:14] 而且是叫辩证之道，
[00:11:15] 所以这个时候我会选择AB。
[00:11:18] 啊，
[00:11:18] 我会选择AB，
[00:11:19] 那AB怎么选？
[00:11:20] 第一种是a对b有什么影响？
[00:11:23] 第二种是b对a有什么影响？
[00:11:26] 第三种，
[00:11:26] 要努力的把a与b结合起来，
[00:11:29] 怎么干？
[00:11:30] 现在大家能够听懂吗？
[00:11:32] 就是第三种的话呢，
[00:11:34] 就是要把a和b的话呢联系起来。
[00:11:37] 循环起来，
[00:11:38] 辩证起来，
[00:11:38] 现在听懂了吗？
[00:11:40] 好了，
[00:11:40] 那么但是我们这个健康也就是这个c的领域。
[00:11:44] 我们中间还需不需要扯到其他领域这个题目，
[00:11:49] 我们待会是只论证健康领域就可以了。
[00:11:53] 还是需要给我扯到其他领域，
[00:11:56] 大家认真的琢磨一下各位，
[00:11:58] 实际上我们就锁定了健康这一个领域就可以了，
[00:12:02] 不需要大家拔高了。
[00:12:03] 因为题干当中是非常清晰的，
[00:12:06] 把它搞定了，
[00:12:07] 所以我们整个的分论点也就给大家找齐了，
[00:12:10] 第一个分论点应该是小切口，
[00:12:12] 对于大健康有什么好处？
[00:12:14] 第二个分类点是大健康。
[00:12:17] 对于小切口有什么好处？
[00:12:19] 第三个分类点是要把小切口与大健康的让他们双向赋能。
[00:12:24] 循环升级能能够良性互动都是可以的，
[00:12:28] 现在清晰了吧？
[00:12:30] 各位有没有同学三个分类点和东哥是差不多的？
[00:12:34] 我看哪个同学和我差不多，
[00:12:36] 直接敲在评论区，
[00:12:38] 各位这三个分论点呢，
[00:12:39] 一定要把它搞定啊，
[00:12:41] 有的同学说老师，
[00:12:42] 我为什么不能选择ABC，
[00:12:43] 各位你看。
[00:12:44] 如果你要选成ABC，
[00:12:46] 你第一个分论点要写成a对c有什么影响？
[00:12:49] 第二个分论点要写成b对c有什么影响？
[00:12:52] 第三个分论点要写成a+b，
[00:12:54] 结合起来对c有什么影响？
[00:12:56] 也不能说你不好，
[00:12:58] 但是至少这个分论点没有体现出辩证之道，
[00:13:01] 这个分论点也没有体现出辩证之道，
[00:13:04] 而这三个分论点。
[00:13:06] 当中的每一个都在体现辩证之道，
[00:13:09] 现在听懂了吗？
[00:13:10] 各位，
[00:13:10] 这一种肯定是最好的方式，
[00:13:13] 因为题干当中，
[00:13:14] 他就直接跟你说了辩证之道。
[00:13:16] 我最好就利用AB。
[00:13:19] 利用AB写成a对b的影响，
[00:13:22] 写成b对a的影响，
[00:13:24] 写成a+b良性循环，
[00:13:26] 良性互动的影响。
[00:13:28] 听懂了吗？
[00:13:29] 这个时候就能够更好的，
[00:13:31] 就是围绕辩证之道那么，
[00:13:33] 但是这个健康的c我是在论证里边体现c这是特殊的一种体型。
[00:13:39] 我之前给大家说过了哈，
[00:13:41] 好了。
[00:13:42] 再接着带着大家一起往下走啊，
[00:13:44] 再接着带着大家往下走，
[00:13:46] 那么我问大家一下，
[00:13:48] 大家审完了这个题目，
[00:13:49] 如果你脑子比较聪明的话，
[00:13:52] 你觉得我们。
[00:13:53] 这个时候材料它并没有这一这样的一句话的出处，
[00:13:57] 那么这个时候你觉得这句话我们应该是怎么办？
[00:14:02] 是不是就要到所有材料当中去找了这节课，
[00:14:05] 我们要带着大家看一下所有材料，
[00:14:07] 但是我们看所有材料我不用看，
[00:14:10] 我就知道。
[00:14:10] 每一则材料，
[00:14:11] 它一定大概率可以分成几个方面，
[00:14:14] 大家真正的想一下，
[00:14:16] 每一则材料，
[00:14:17] 它大概率要么是和小切口有关，
[00:14:20] 要么是和大健康有关。
[00:14:21] 或者要么是和这两个都有关，
[00:14:24] 大家现在听懂了吗？
[00:14:25] 好，
[00:14:25] 大家现在能够听懂了吗？
[00:14:27] 所以这是非常重要的啊。
[00:14:29] 就是每一则材料，
[00:14:31] 它要么是和小切口有关，
[00:14:33] 要么是和大前大健康有关，
[00:14:35] 要么是和这两个都有关好吧。
[00:14:38] 好了，
[00:14:38] 我们带着大家一起往下走，
[00:14:40] 大家来看一下，
[00:14:41] 那么另外一个我们还是带着大家先看一下。
[00:14:45] 前面的客观小题吧，
[00:14:47] 因为客观小题呢，
[00:14:48] 能够速度的帮我们了解一下前面的材料，
[00:14:52] 大家看。
[00:14:53] 前面一个叫小切口，
[00:14:55] 后面一个叫大健康OK，
[00:14:58] 认真的来看一下。
[00:15:00] 在这个题目当中，
[00:15:02] 大家告诉我，
[00:15:03] 提升青少年群体身心健康的举措。
[00:15:06] 大家告诉我这个举措，
[00:15:09] 你觉得它应该是小借口，
[00:15:11] 小切口，
[00:15:12] 还是应该是大健康，
[00:15:14] 就是虽然我没有读一和二。
[00:15:17] 那么我就知道这个小的举措，
[00:15:20] 你觉得是小切口还是大健康？
[00:15:23] 那我觉得哦。
[00:15:24] 它的一系列举措，
[00:15:27] 一系列举措。
[00:15:29] 啊，
[00:15:29] 就是具体的举措，
[00:15:31] 我们把它写成具体的举措，
[00:15:34] 这个具体的举措也就是具体的对策。
[00:15:38] 就是我们所说的小切口，
[00:15:40] 大家现在能够看懂了吧？
[00:15:42] 另外一个大家再来看一下，
[00:15:45] 下面就是我们在这个地方搞了一个关注。
[00:15:48] 氢燃计划的小程序能够让我们进行一个健康管理，
[00:15:54] 请问大家下这个关注的小程序，
[00:15:57] 你觉得这个小程序。
[00:15:59] 它应该是小切口还是大健康？
[00:16:02] 哪位同学可以告诉我，
[00:16:04] 就是哎，
[00:16:05] 这个关注小程序，
[00:16:07] 它肯定也是举措注一。
[00:16:09] 所以小程序它也是一个对策，
[00:16:12] 我大体就理解了好了，
[00:16:15] 这个大健康。
[00:16:16] 大家来看一下，
[00:16:17] 通过材料一材料二身心健康，
[00:16:20] 请问属不属于大健康当中的一种？
[00:16:23] 哪位同学可以告诉我？
[00:16:25] 那我觉得还是属于的，
[00:16:27] 这叫身心的健康。
[00:16:29] OK，
[00:16:29] 那么再接着来看一下，
[00:16:32] 就是第四个材料当中的体重管理体重管理。
[00:16:38] 也就是我们能够把体重管理好，
[00:16:41] 你觉得算不算是身心健健康？
[00:16:43] 算不算是就是大健康也算吗？
[00:16:46] 所以这个时候我们就比较清晰了，
[00:16:49] 虽然我没有读材料，
[00:16:50] 但是我大体应该知道，
[00:16:52] 就是我们搞一个小程序，
[00:16:54] 它应该是对于我们体重管理。
[00:16:57] 有什么影响？
[00:16:58] 哪位同学可以告诉我搞一个小程序是我们体重管理的一个。
[00:17:05] 落脚点，
[00:17:06] 大家同意吧，
[00:17:07] 是我们体重管理的一个落脚点，
[00:17:10] 或者是我们体重管理的一个什么？
[00:17:13] 是我们体重管理的一个落点，
[00:17:16] 或者是我们体重管理的一个对策，
[00:17:19] 这些大家只要合情合理也就可以了。
[00:17:22] 大家觉得可以吗？
[00:17:24] 另外一个你觉得大健康对于我们这些对策有什么好处？
[00:17:28] 就是我们明确了大健康。
[00:17:30] 这样一个体重管理的目标。
[00:17:33] 它能够让我们开发出这个小程序，
[00:17:36] 它对于这个小程序有什么作用？
[00:17:38] 是不是有一个引领的作用？
[00:17:41] 是不是有一个统领的作用，
[00:17:43] 它就相当于我们的一个目标一样，
[00:17:46] 所以你可以根据这几个例子，
[00:17:49] 你就慢慢的把哎。
[00:17:50] 小程序，
[00:17:51] 你就慢慢的把大健康能够想明白了，
[00:17:53] 你就慢慢的把小切口想明白了，
[00:17:56] 现在听懂了吗？
[00:17:57] 各位，
[00:17:57] 所以我们通过这个例子，
[00:17:59] 大家给老师一起写。
[00:18:01] 前面是小切口，
[00:18:03] 后面是大健康，
[00:18:05] 请问小切口对于大健康有什么好处？
[00:18:10] 哪位同学可以告诉我，
[00:18:13] 小切口是大健康的。
[00:18:16] OK，
[00:18:16] 一起给老师写个词，
[00:18:18] 随便写什么词都是可以的，
[00:18:21] 那么实现手段是大健康的。
[00:18:24] 具体落点都是可以的啊，
[00:18:26] 具体落点你们只要说的合情合理就行了，
[00:18:30] 好了，
[00:18:31] 我问大家一下再来想一下，
[00:18:33] 就是这个大健康。
[00:18:35] 它又是小切口的，
[00:18:37] 对于小切口有什么好处？
[00:18:39] 大健康对于小切口有什么好处？
[00:18:43] 大家来想想，
[00:18:44] 就是我们为了这个身心健康，
[00:18:46] 我们会搞许许多多的小切口，
[00:18:49] 搞许许多多的小对策，
[00:18:51] 我们为了大家的健康的。
[00:18:53] 其中，
[00:18:53] 管理我们会给大家搞一个小程序，
[00:18:56] 也就是这个大健康是我们小切口的。
[00:19:00] 设小切口的什么？
[00:19:02] 比如说系统统领，
[00:19:04] 大家随便想四个词也就可以了，
[00:19:07] 或者是目标导向都是可以的系统统领。
[00:19:11] 大家只要有这个意思也就可以了，
[00:19:13] 好了，
[00:19:14] 你看这是第一个分类点，
[00:19:15] 这是第二个分类点，
[00:19:17] 下面请问大家下第三个分类点，
[00:19:19] 你们能够给老师。
[00:19:20] 第三个分论点应该要谈他俩之间的辩证关系，
[00:19:25] 是需要把小切口。
[00:19:27] 还有一个大健康，
[00:19:29] 能够怎么样？
[00:19:31] 要把小切口和大健康要辩证怎么辩证？
[00:19:36] 辩证就是要把它有机的结合，
[00:19:39] 那么进行一个双向的赋能。
[00:19:43] 还有进行一个循环的升级，
[00:19:47] 大家把循环的升级给老师一起写下来。
[00:19:52] 不就可以了吗？
[00:19:53] 好吧，
[00:19:53] 对于什么有好处啊，
[00:19:55] 对于我们的健康治理有好处也就可以了，
[00:19:58] 大家基本上只要你是按照这个模式走的，
[00:20:01] 就没有问题了。
[00:20:02] 我现在问大家一下，
[00:20:04] 你觉得前面这个小题的这个题干重不重要？
[00:20:08] 即使你没有读后面的材料，
[00:20:10] 但是你看到。
[00:20:11] 材料一，
[00:20:12] 材料二，
[00:20:12] 你看到这个题目，
[00:20:14] 我不用读材料，
[00:20:15] 一不用读材料，
[00:20:16] 二，
[00:20:16] 我就知道它是围绕青少年身心健康干了一定的对策，
[00:20:20] 我就知道材料四是。
[00:20:22] 是围绕我们的体重管理干了一个小程序的事情，
[00:20:26] 现在听懂了吗？
[00:20:28] 各位听懂了的话就给老师打个过。
[00:20:31] 下面我要教大家一个非常好的招数，
[00:20:34] 也就是去阅读材料，
[00:20:35] 大家有没有觉得看到这些材料脑袋有点崩溃？
[00:20:39] 大家有没有觉得看到哇？
[00:20:41] 我这个不是看一段材料，
[00:20:43] 我要是看六篇材料，
[00:20:45] 我实在是比较崩溃，
[00:20:47] 那么你看材料的时候脑子当中一定要有。
[00:20:51] 一个一句话，
[00:20:52] 大家把这句话写在评论区，
[00:20:55] 这句话是叫目标导向。
[00:20:58] 这个目标导向大家给老师记清楚了哈，
[00:21:01] 这个目标导向记住了，
[00:21:03] 一个是要牢牢记住小切口。
[00:21:06] 第二个是要牢牢记住什么大健康哎，
[00:21:09] 大家把大健康也写下来好了，
[00:21:12] 那么这个时候你会发现。
[00:21:15] 全部都是故事性的材料，
[00:21:17] 我最重要的这些例子对我来讲写在大作文里面可以干什么作用？
[00:21:22] 我材料一材料二都是在说青少年身心健康的。
[00:21:25] 所以材料一。
[00:21:27] 材料二，
[00:21:28] 刚才小题已经告诉我们了，
[00:21:30] 就是围绕心身健康做的一个对策，
[00:21:34] 然后读故事性材料，
[00:21:35] 要想读的比较快。
[00:21:37] 就是牢牢的关注三个要素，
[00:21:39] 第一个是主体，
[00:21:41] 第二个是什么，
[00:21:42] 第二个是对策，
[00:21:43] 第三个是什么，
[00:21:45] 第三个是影响。
[00:21:46] 如果你非常想再加一个的话，
[00:21:48] 可以加一个什么可以加一个问题，
[00:21:51] 大家现在听懂了吗？
[00:21:53] 好了，
[00:21:53] 你就随便的来看一下材料，
[00:21:55] 一也就可以了。
[00:21:57] 我问大家一下材料，
[00:21:58] 一读一下断手续，
[00:22:00] 不用看我就知道面临的问题是指什么问题，
[00:22:03] 面临的问题就和你们现在一样，
[00:22:06] 就是脊柱侧弯。
[00:22:07] 你们觉得你们现在记住侧弯不？
[00:22:10] 你们觉得你们自助记住侧弯不评论区的你啊，
[00:22:14] 你觉得你的记住侧弯不你还驼背吗？
[00:22:16] 我们现在很多同学天天坐着学习，
[00:22:19] 有可能记住都弯了啊。
[00:22:21] 所以平常哎，
[00:22:22] 也要注意好了，
[00:22:23] 我们的主体是指谁？
[00:22:25] 主体是不是指的浙江主体是不是指的浙江，
[00:22:29] 然后干了一个什么样的对策？
[00:22:32] 各位干了什么对策，
[00:22:34] 随便来看一下，
[00:22:36] 找一下普查干了对策，
[00:22:38] 搞了一个筛查是吧？
[00:22:40] 干了对策。
[00:22:41] 搞了什么？
[00:22:42] 请问大家一下，
[00:22:44] 你觉得普查和筛查啊，
[00:22:46] 你觉得普查和筛查，
[00:22:49] 而且它是一次这一次，
[00:22:51] 你觉得它是小切口。
[00:22:53] 还是大健康，
[00:22:54] 哪位同学可以告诉我？
[00:22:56] 那么大概率就是一个小切口吧，
[00:22:59] 好了，
[00:23:00] 大家再来看一下伪距一站式服务全链条体系，
[00:23:04] 你们觉得一站式服务全链条体系。
[00:23:07] 它应该是小切口还是大健康？
[00:23:10] 哪位同学可以告诉我它的原来小切口可能就是一个点。
[00:23:15] 大家能够同意吧，
[00:23:17] 大健康，
[00:23:17] 它可能就说最后能够形成一个面，
[00:23:20] 那我觉得一站式全链条体系，
[00:23:23] 它可能是一个面也就可以了。
[00:23:25] 好了，
[00:23:25] 那么大家再来看一下二零二四年他干了一件事情是什么事情，
[00:23:31] 你会发现他干的对策就是中医药进行一个干预，
[00:23:35] 中医药干预是对策，
[00:23:37] 中医药的干预。
[00:23:38] 是具体的其中的一个对策，
[00:23:40] 也就是一个举措，
[00:23:42] 就是刚才那个小题当中问的这一个举措。
[00:23:46] 请问大家下是小切口还是大健康？
[00:23:49] 那么我觉得也是一个小切口吧，
[00:23:51] 只要是一个对策就肯定是切口嘛，
[00:23:54] 就是拿着刀片在啊身上啊，
[00:23:56] 割一个口子，
[00:23:57] 割一个口子，
[00:23:58] 一个对策。
[00:23:59] 就是一个切口是吧？
[00:24:00] 好了，
[00:24:01] 再带着大家一起往下走，
[00:24:03] 大家来看一下，
[00:24:04] 下面就是。
[00:24:05] 再来看一下这个，
[00:24:07] 还是在中医的，
[00:24:08] 我就不爱看了，
[00:24:09] 这个也是在说中医的，
[00:24:11] 我就不爱看了，
[00:24:12] 例子就是简略的读，
[00:24:13] 那么再来看一下。
[00:24:14] 这个还是在说哎，
[00:24:16] 就是医生中医，
[00:24:17] 我就都不爱看，
[00:24:18] 我就只要是这种中医的，
[00:24:20] 我都不爱看，
[00:24:21] 因为材料实在是太多了。
[00:24:23] 好了，
[00:24:23] 大家再来看一下，
[00:24:25] 下面你们觉得这个是健康午休，
[00:24:28] 健康午休，
[00:24:29] 请问它是小切口还是一个大健康？
[00:24:32] 健康午休依然是在说一个点，
[00:24:35] 所以还是在说小切口吧，
[00:24:37] 所以我们先把它放在这个地方，
[00:24:40] 请问那大健康？
[00:24:41] 在这一段当中指的是什么？
[00:24:44] 哪位同学可以告诉我？
[00:24:46] 各位，
[00:24:47] 这个大健康，
[00:24:48] 我们刚才材料题干当中说了，
[00:24:51] 是身心健康当中的身体健康吧？
[00:24:54] 现在你们能够同意不？
[00:24:56] 那么，
[00:24:56] 为了做这个身体健康，
[00:24:58] 我们做了几个小切口，
[00:25:00] 第一个切口是什么？
[00:25:01] 刚才给大家说的第一个切口是什么？
[00:25:04] 第一个切口是进行一个筛查吧，
[00:25:07] 第二个切口搞了一个中医吧，
[00:25:10] 接着现在的切口又搞了一个午休吧。
[00:25:13] 这个是没毛病的吧？
[00:25:15] 同学们好了，
[00:25:16] 我们再带着大家往下走，
[00:25:18] 就粗读，
[00:25:18] 不要精读哎，
[00:25:19] 大家这些材料你本身前面做小题也都遇到过了，
[00:25:23] 不用管。
[00:25:24] 好了，
[00:25:24] 那么大家先读一下这一段的段首句，
[00:25:27] 刚才小题当中说材料一材料二是在说身心健康，
[00:25:31] 你们觉得读一下这一段的段首句，
[00:25:34] 你觉得这一段的段首句是在说身心。
[00:25:38] 健康的身体健康还是心理健康，
[00:25:40] 哪位同学可以告诉我，
[00:25:42] 你会发现我的妈呀，
[00:25:44] 他就是在说一个心理的健康，
[00:25:47] 所以。
[00:25:47] 这个心理的健康OK，
[00:25:49] 我就大体能够知道了心理的健康，
[00:25:52] 这个心理健康也是属于大健康当中的其中一种健康。
[00:25:57] 这个时候大家看他搞了一个AI的心理教室，
[00:26:00] 他搞了一个人工智能的心理幸福小屋。
[00:26:04] 请问大家一下，
[00:26:05] 你觉得这个时候他应该是什么？
[00:26:08] 哪位同学可以告诉我，
[00:26:10] 你觉得AI的心理教室还有一个幸福小屋，
[00:26:14] 它应该是什么？
[00:26:15] 哪位同学可以告诉我这个是不是一个小切口啊？
[00:26:19] OK，
[00:26:19] 我们把这个小切口记下来也就可以了啊，
[00:26:22] 别着急。
[00:26:23] 好了，
[00:26:24] 大家看这个信心。
[00:26:26] 新兴的话呢，
[00:26:26] 还搞了一个干预的方案是吧？
[00:26:29] 然后呢，
[00:26:29] 形成个性化的建议也是所谓的小切口，
[00:26:32] 下面这些还是在说，
[00:26:34] 哎呀，
[00:26:34] 我就不我就不细看了。
[00:26:36] 我就大体知道它是个AR也就行了，
[00:26:39] 现在我再问大家一下，
[00:26:41] 你觉得这一个有一个同时。
[00:26:43] 里边有一个整合，
[00:26:45] 还有一个有这么多系统弄成的，
[00:26:48] 一个领导小组，
[00:26:49] 还有把心理健康服务，
[00:26:51] 这是在说小切口，
[00:26:52] 还是在说大健康？
[00:26:54] 小切口就是其中的一个点，
[00:26:57] 大健康就是其中的一个面，
[00:26:59] 你觉得它这个东西咱就问它是小还是大？
[00:27:03] 哪位同学可以告诉我？
[00:27:05] 那我觉得这个东西你看市里面区里面的这么多人，
[00:27:09] 还有这么多部门，
[00:27:10] 大概率应该是在说一个大健康吧。
[00:27:13] 也就是我们指的小切口，
[00:27:16] 往往指的是具体一个一个点的对策。
[00:27:21] 然后大健康。
[00:27:23] 大健康，
[00:27:24] 它往往指的是什么？
[00:27:26] 同学们，
[00:27:27] 它往往指的是一个就是。
[00:27:29] 它往往在这个里边，
[00:27:31] 你会发现它涉及到全领域的这种治理格局。
[00:27:36] 我们一起写。
[00:27:38] 健康治理格局。
[00:27:40] 大家把健康治理格局。
[00:27:43] 健康治理格局一起把它写下来，
[00:27:46] 健康治理格局啊，
[00:27:48] 健康治理格局也就是说你你小切口是指的具体一个一个点的对策。
[00:27:55] 你大健康指的是一个一个面的这种对策啊，
[00:27:59] 一个一个面的这种对策小和大啊，
[00:28:02] 它是一个辩证之道，
[00:28:04] 就证明他们俩是对一对应的你前面。
[00:28:07] 是具体的点的对策，
[00:28:08] 这些具体点的对策汇集起来，
[00:28:11] 它可能成为一个面的对策，
[00:28:13] 好了再带着大家往下走。
[00:28:15] 大家来看一下材料三，
[00:28:17] 我问大家一下，
[00:28:18] 你觉得材料三主体是指谁？
[00:28:20] 主体是指的小伙子，
[00:28:22] 对策是指什么？
[00:28:24] 对策，
[00:28:24] 我们为他干了什么事情？
[00:28:26] 对策，
[00:28:26] 好像就是搞了一个心理热线，
[00:28:28] 最后产生的影响，
[00:28:30] 这种影响就是让他能够转移注意力，
[00:28:33] 摆脱困扰了。
[00:28:34] 你看你用这种方式读材料，
[00:28:36] 你很快就能清晰。
[00:28:37] 你不至于脑袋空白好了，
[00:28:39] 大家看主，
[00:28:40] 这是这是主体，
[00:28:42] 这是对策，
[00:28:43] 然后呢？
[00:28:43] 这是一个影响。
[00:28:45] 就可以了，
[00:28:46] 还是在说这是如果前面是指的专门针对青少年。
[00:28:50] 请问大家下。
[00:28:52] 这里边指的是针对谁？
[00:28:54] 哪位同学可以告诉我小伙子30岁了，
[00:28:58] 30岁还算不算是青少年啊？
[00:29:01] 那他这。
[00:29:02] 30岁至少算是青年，
[00:29:04] 还有中年了是吧？
[00:29:05] 同学们哎，
[00:29:06] 这个但是中年他都不算，
[00:29:08] 但是至少青年了，
