[00:00:00] 那是每一天刚好可以更从容，
[00:03:29] 像我这样寻找的人，
[00:03:32] 像我这样碌碌无为的人，
[00:03:37] 你还见过多少？
[00:03:39] 哎。
[00:03:43] 没有了。
[00:03:52] 你们好好的跟着学哈，
[00:03:54] 这个课结束了之后，
[00:03:56] 我们就紧接着开始超大杯的刷题了。
[00:03:59] 你们觉得还需要抄单凭证刷齐吗？
[00:04:04] 到时候呢，
[00:04:06] 抄大背的刷题，
[00:04:08] 反正就一直带着大家刷的。
[00:04:13] 这样的话呢，
[00:04:14] 就把这个课补足了。
[00:04:16] 现在先不要着急，
[00:04:18] 现在先把大指纹该背的背一下，
[00:04:21] 现在如果我开始卖超大屏的刷题。
[00:04:24] 结果导致很多同学大嘴们又不背了。
[00:04:28] 学到哪就把哪个地方消化，
[00:04:31] 不要欠账，
[00:04:32] 大家觉得可以吗？
[00:04:35] 像我这样倔强的人，
[00:04:38] 像我这样碌碌无为的人，
[00:04:43] 你可想过多少人？
[00:04:46] 像我这样孤单的人，
[00:04:50] 像我这样傻的人。
[00:04:54] 像我这样不甘平凡的人，
[00:04:58] 世界上有多少人？
[00:05:04] 小爱同学嗯，
[00:05:08] 暂停。
[00:05:10] 好了，
[00:05:10] 所有的同学们可以把你们的具体的家乡的名字敲在评论区，
[00:05:15] 让我看一下你们都是哪个地方的人好吧？
[00:05:19] oh my god，
[00:05:20] 这节课寻找分论点二又开始给大家讲了。
[00:05:23] 呃，
[00:05:23] 上这节课之前的话呢，
[00:05:25] 我首先问大家一下，
[00:05:27] 你们觉得在考试的时候是单主题的分论点难找还是？
[00:05:32] 双主题，
[00:05:33] 多主题的分论点难找，
[00:05:34] 有没有同学能够告诉我？
[00:05:37] 在考试的时候呢，
[00:05:38] 我先给大家说一个结论哈。
[00:05:40] 在考试的时候，
[00:05:41] 最难找的分论点呢，
[00:05:43] 是单主题的，
[00:05:44] 这个在我们这个课就是接下来呢，
[00:05:47] 进入实战阶段，
[00:05:49] 会给大家有单主题的专门的训练。
[00:05:52] 为什么？
[00:05:52] 因为单主题的它是通过题干，
[00:05:55] 不能够找完全找到的，
[00:05:57] 很多时候要通过材料去进行挖掘。
[00:06:00] 而且的话呢，
[00:06:02] 有的时候不是通过其中的一段材料，
[00:06:05] 而要通过全篇的材料，
[00:06:08] 这样就会比较麻烦。
[00:06:09] 现在大家能够同意的话，
[00:06:12] 给老师打个一好了，
[00:06:13] 那这节课我们把上节课有一个小尾巴给解决一下，
[00:06:17] 你会发现很多时候他给我们很多材料，
[00:06:21] 比如说材料一。
[00:06:22] 材料二，
[00:06:22] 材料三，
[00:06:23] 材料四，
[00:06:24] 材料五，
[00:06:25] 请问大家一下，
[00:06:26] 如果是一个单主题的分论点，
[00:06:29] 你觉得这个分论点它如果。
[00:06:31] 既可以来，
[00:06:32] 源于题干。
[00:06:34] 又可以来源于所在的材料。
[00:06:38] 还可以来源于全篇材料，
[00:06:41] 它的优先级是什么？
[00:06:43] 哪位同学可以告诉我？
[00:06:45] 请问如果我们在题干当中。
[00:06:48] 能够找到分论点，
[00:06:50] 在材料当中也能够找到分论点，
[00:06:53] 绝大多数情情况，
[00:06:54] 记住了题干的优先级。
[00:06:56] 它是排第一位的，
[00:06:58] 明白了吗？
[00:06:59] 接着如果这句话只是在材料一当中出现的，
[00:07:04] 我们优先从所在材料。
[00:07:06] 去找分论点，
[00:07:07] 这是优先级的啊，
[00:07:09] 如果你会发现题干找不到的话，
[00:07:11] 它既可以从所在材料当中。
[00:07:14] 找又可以从全篇材料当中找，
[00:07:16] 我们就优先从材料二当中找，
[00:07:18] 大家觉得可以过哈最后一个，
[00:07:21] 那么如果你发现所在材料我们找的分论点不够。
[00:07:25] 我们就从全片材料找，
[00:07:26] 这是优先级排第三位，
[00:07:28] 现在大家觉得可以过的话，
[00:07:30] 就给老师打个过这个给大家，
[00:07:33] 这节课做一个小小的补充。
[00:07:35] 好吧好了，
[00:07:36] 那我问大家下，
[00:07:37] 你们觉得考试的时候双主题还有多主题的分论点，
[00:07:42] 它是来源于什么地方？
[00:07:44] 我现在告诉大家，
[00:07:46] 只要是双主题，
[00:07:47] 多主题意味着我们在审题的时候就能够判断出来。
[00:07:52] 记住了，
[00:07:53] 双主题和多主题优先一定是来源于题干的，
[00:07:57] 现在清晰了啊，
[00:07:59] 但是呢，
[00:08:00] 有的时候他题干说的比较模糊。
[00:08:03] 需要我们把题干和材料进行一个结合。
[00:08:08] 需要把题干和材料进行一个结合，
[00:08:11] 现在大家听懂了吗？
[00:08:13] 需要把题干和材料进行结合，
[00:08:16] 做一个补充。
[00:08:17] 这样说呢，
[00:08:18] 你可能现在不理解，
[00:08:19] 没关系，
[00:08:20] 我呢，
[00:08:20] 给你简单的举几个例子，
[00:08:22] 你就知道了，
[00:08:23] 首先大家来看一下。
[00:08:25] 双主题的我们来源于题干和材料当中，
[00:08:28] 给大家看一下历年的真题举例，
[00:08:31] 大家抓紧时间来审一下这个题目。
[00:08:35] 你觉得这个题目给定材料四划线部分提到创新是有风险的，
[00:08:40] 但是它又是规避风险的最好的方式。
[00:08:44] 他在考试的时候是单主题，
[00:08:46] 双主题还是多主题？
[00:08:48] 哪位同学可以告诉我各位是不是看到创新，
[00:08:53] 看到风险？
[00:08:53] 看到创新，
[00:08:55] 看到风险，
[00:08:56] 一共一共就是突出了两个词，
[00:08:59] 两个主题，
[00:09:00] 所以我觉得它叫双主题。
[00:09:02] 大家觉得可以不？
[00:09:04] 好了，
[00:09:04] 双主题，
[00:09:05] 这个时候我想拟一个标题。
[00:09:09] 请问大家一下，
[00:09:11] 这个标题最简单的可以拟成什么标题？
[00:09:15] 对于我来讲，
[00:09:16] 我就可以把它理解成创新。
[00:09:20] 与。
[00:09:21] 风险也就可以了好，
[00:09:23] 这是标题，
[00:09:24] 也就是我们的总论点，
[00:09:27] 我现在想让大家给老师找出一个。
[00:09:30] 分论点，
[00:09:31] 大家把这个分论点应该怎么给老师搞定？
[00:09:35] 同学们给我一起把它搞定。
[00:09:37] 创新是有风险的。
[00:09:39] 创新又是规避风险的最好的方式。
[00:09:42] 同学们抓紧时间给老师琢磨一下，
[00:09:45] 你觉得他让你对。
[00:09:47] 这句话进行一个思考，
[00:09:49] 这句话包含了几句，
[00:09:51] 哪位同学可以告诉我这句话是不是包含了第一句啊？
[00:09:56] 这句话是不是包含了第二句啊？
[00:09:59] 所以我们的分论点应该怎么写？
[00:10:02] 哪位同学可以告诉我？
[00:10:04] 我们的分论点你就记住了，
[00:10:06] 就直接把这两句话摘抄也就行了，
[00:10:09] 我第一句话就直接写创新。
[00:10:12] 是有。
[00:10:15] 风险的。
[00:10:16] 请问大家一下，
[00:10:18] 我如果这样写命题人，
[00:10:19] 阅卷人能不能算我是跑题？
[00:10:22] 不会因为这个，
[00:10:23] 我就是扣紧题目，
[00:10:25] 把这句话谈透彻也就可以了。
[00:10:27] 第二个分论点，
[00:10:29] 大家觉得应该怎么写？
[00:10:31] 把它变成创新一起写下来创新。
[00:10:36] 又是。
[00:10:38] 规避。
[00:10:42] 风险。
[00:10:45] 的最好方式，
[00:10:46] 你看这个就把它搞定了，
[00:10:49] 现在我问你们一下，
[00:10:51] 你们觉得这两个分论点它是在说哪一个要素？
[00:10:56] 是在说影响，
[00:10:58] 还是在说对策？
[00:10:59] 哪位同学可以告诉东哥，
[00:11:01] 这两个分论点是不是都是在说影响啊？
[00:11:05] 是不是都是在说影响这个，
[00:11:08] 是不是也是在说影响，
[00:11:10] 请问如果考试的时候我只写这两个分论点，
[00:11:14] 大家觉得可以吗？
[00:11:16] 就在考试的时候，
[00:11:17] 我就只写这两个分类点，
[00:11:19] 创新是有风险的，
[00:11:20] 创新又是规避风险的，
[00:11:22] 最好的方式完全是可以的。
[00:11:24] 但是我问大家下1000字，
[00:11:26] 如果我只写这两个分类点，
[00:11:28] 是不是觉得层次还有点不够啊？
[00:11:31] 可不可以加第三个分论点，
[00:11:33] 哪位同学可以告诉我前面两个谈影响，
[00:11:37] 第三个可以谈什么？
[00:11:39] 我对这句话认识非常深刻，
[00:11:41] 就是给他定性谈影响没有问题，
[00:11:44] 第三个我可以谈一个。
[00:11:46] 对策，
[00:11:47] 这个对策请问大家一下要包含什么词？
[00:11:50] 第一个要包含创新，
[00:11:52] 第二个要包含风险吗？
[00:11:55] 所以大家一起写下来，
[00:11:57] 我们。
[00:11:58] 要加强创新。
[00:12:03] 我们要加强创新。
[00:12:07] 规避。
[00:12:10] 风险大家觉得可以不？
[00:12:12] 你看这个对策，
[00:12:13] 但是这就是我们要怎么干这个对策？
[00:12:17] 我还想再加一个总的影响，
[00:12:19] 大家觉得可以吗？
[00:12:20] 比如说为推动。
[00:12:24] 高质量发展打下坚实基础，
[00:12:28] 为推动高质量。
[00:12:31] 发展。
[00:12:33] 大夏。
[00:12:35] 坚持。
[00:12:37] 基础OK，
[00:12:38] 现在我有两个小问题，
[00:12:40] 我要问大家一下，
[00:12:41] 你觉得在考试的时候就是第一个分论点和第二个分论点，
[00:12:46] 要不要做到字数绝对相等？
[00:12:49] 要的话给老师敲个一，
[00:12:51] 不要的话给老师敲个二，
[00:12:53] 各位不用为什么，
[00:12:54] 这就是题干当中的原词原句，
[00:12:57] 我就最好用原词原句，
[00:12:58] 这是第一个。
[00:12:59] 第二个，
[00:13:00] 我们很多同学当年在考试的考场上时候拿到这个题目，
[00:13:05] 他就写了一个标题。
[00:13:07] 这个标题大家来看一下，
[00:13:10] 勇于创新，
[00:13:11] 大家觉得这样的写算不算是跑题？
[00:13:15] 同学们，
[00:13:16] 你们觉得他这样写算不算是跑题？
[00:13:19] 这样写的话不算是完全跑题，
[00:13:22] 但是跑了一半。
[00:13:23] 为什么说跑了一半，
[00:13:25] 哪位同学可以告诉我，
[00:13:27] 是因为他这个题目在题干当中缺少了一个风险，
[00:13:31] 我希望能够看到这个风险，
[00:13:34] 但是你没有。
[00:13:35] 就算你跑题了，
[00:13:36] 现在清晰了吧？
[00:13:37] 同学们，
[00:13:38] 我希望能够看到这个风险，
[00:13:41] 但是你没有好吧，
[00:13:42] 好了，
[00:13:43] 我们。
[00:13:43] 就给大家搞定，
[00:13:44] 它是双主题，
[00:13:45] 大家看创新与风险，
[00:13:46] 创新是有风险的，
[00:13:48] 创新又是规避风险的最好的方式，
[00:13:50] 我们要加强创新，
[00:13:51] 规避风险，
[00:13:52] 为推动高质量发展打下坚实的基础。
[00:13:55] 大家觉得可以吧？
[00:13:56] 好了再带着大家来看一下这个题目，
[00:13:59] 同学们抓紧时间审一下题，
[00:14:02] 你觉得它是单主题双主题。
[00:14:04] 还是多主题，
[00:14:05] 给定材料四中提到现代，
[00:14:08] 让传统更加的亲切鲜活，
[00:14:11] 传统呢，
[00:14:11] 让现代更加的丰富厚重。
[00:14:14] 应该怎么把它搞定？
[00:14:16] 哪位同学可以告诉我这个题目对于我们来说的话其实非常简单，
[00:14:21] 一看又是一个。
[00:14:23] 双主题同学们，
[00:14:24] 如果这个题目是双主题的话，
[00:14:28] 我想把它写成最终的分论点。
[00:14:31] 大家觉得可以写成几个分论点，
[00:14:34] 大家能不能这个题目既可以从题干找，
[00:14:38] 又可以从材料找找的话？
[00:14:41] 大家觉得是优先从题干当中得出来，
[00:14:44] 还是优先从就是材料当中再去得出来？
[00:14:47] 各位，
[00:14:47] 我肯定要从题干当中直接把它得出来。
[00:14:51] 题干当中得大家说，
[00:14:53] 这个时候他是说对这句话的理解，
[00:14:56] 我们是保留原词原句的好，
[00:14:59] 还是需要再把它哎我到材料当中一看。
[00:15:03] 他明显是在说文化的，
[00:15:05] 我需不需要把它变成就是现代对于文化有什么好处，
[00:15:09] 传统对于文化有什么好处，
[00:15:12] 这是第一个方式，
[00:15:13] 第二个就是现代对传统。
[00:15:16] 是亲切鲜活传统，
[00:15:17] 让现代是丰富互重。
[00:15:19] 大家是用第一个还是用第二个，
[00:15:21] 用原词原句还是我们把它按照材料再重新组装？
[00:15:26] 记住我跟你说的话，
[00:15:27] 永远是用原词原句，
[00:15:29] 人家让你谈的就是这句话，
[00:15:31] 那么所以你不要再用a对c的影响b对c的影响。
[00:15:36] 还有一个a+b结合起来，
[00:15:38] 对c的影响了，
[00:15:39] 这句话大家能够理解的话，
[00:15:41] 给老师打个一这两句话都是在说文化，
[00:15:44] 你千万的不要再组装了，
[00:15:46] 说老师他俩是在说文化。
[00:15:48] 我就把它变成一个现代对于文化的影响，
[00:15:51] 传统对于文化的影响，
[00:15:53] 然后呢，
[00:15:53] 还有现代传统文化加起来，
[00:15:55] 对于现代传统加起来，
[00:15:57] 对于文化的影响，
[00:15:58] 不要这样写。
[00:15:59] 记住了，
[00:16:00] 就用原词原句，
[00:16:01] 因为它让我就是对这句话理解，
[00:16:04] 那这句话我只要把它理解透了，
[00:16:07] 只要把它理解透了就可以了。
[00:16:10] 所以我们的第一个分论点，
[00:16:13] 大家一起写现代。
[00:16:15] 让传统。
[00:16:18] go.
[00:16:20] 亲切鲜活，
[00:16:21] 一起把它写下来，
[00:16:23] 第二个分论点，
[00:16:25] 大家一起写传统，
[00:16:27] 让现代更丰富厚重，
[00:16:29] 一起把它搞定。
[00:16:31] 那么，
[00:16:32] 第三个分论点应该怎么写？
[00:16:34] 哪位同学可以告诉我？
[00:16:36] 第三个分论点应该怎么写？
[00:16:38] 前两个分论点是在写影响。
[00:16:40] 第三个分论点可以写什么？
[00:16:43] 前面两个是在说我们怎么看？
[00:16:45] 后面一个是要说我们怎么干？
[00:16:48] 我们怎么干？
[00:16:49] 我们就是要将。
[00:16:51] 现代。
[00:16:52] 与传统。
[00:16:55] 怎么样相结合，
[00:16:56] 最后你可以把那个c提炼出来，
[00:16:59] 助力中华文明发展也就可以了，
[00:17:01] 大家看第三个分论点，
[00:17:03] 也给大家写出来了。
[00:17:05] 大家看第一个分论点，
[00:17:06] 直接摘抄第二个分论点，
[00:17:08] 直接摘抄第三个分论点，
[00:17:10] 现代科技与传统文化是可以完美融合的，
[00:17:13] 这是第一种表述，
[00:17:14] 第二种表述我们需要将。
[00:17:16] 现代科技与传统文化相融合，
[00:17:19] 助力中华文明焕发新机，
[00:17:21] 大家觉得可以过的话，
[00:17:23] 就给老师打个二。
[00:17:24] 各位，
[00:17:25] 这种题目在考试的时候啊，
[00:17:27] 我再给大家说一下，
[00:17:29] 你一定要加一个第三个分论点，
[00:17:31] 也就是对策。
[00:17:32] 把你的深度往下再压一下，
[00:17:35] 或往上再拉一下，
[00:17:37] 这样的感觉呢，
[00:17:38] 就会好很多了，
[00:17:39] 好吧？
[00:17:40] 好，
[00:17:40] 这就是我们的第三个分类点啊，
[00:17:42] 第三个分类点，
[00:17:44] 你看这个让传统亲切鲜活，
[00:17:46] 是在说影响。
[00:17:47] 你看传统上现在丰富厚重，
[00:17:49] 也是在说影响第三个呢，
[00:17:51] 我们就是把他们俩进行一个结合，
[00:17:54] 他就是在说对策，
[00:17:56] 当然你这个对策。
[00:17:57] 因为它有个c，
[00:17:59] 现在和传统指的是中华文明，
[00:18:01] 你可以把它结合之后再说一个总的影响，
[00:18:04] 也是没有问题的。
[00:18:05] 好吧，
[00:18:06] 好了，
[00:18:06] 再接着给大家往下走，
[00:18:08] 大家来看一下这个题目告诉我，
[00:18:10] 他在考试的时候是单主题，
[00:18:12] 双主题还是多主题，
[00:18:14] 这个是江苏省考当年考的题目，
[00:18:16] 很多同学当年就跑题了。
[00:18:18] 请你结合对给定材料，
[00:18:20] 其中用智慧给执法加分，
[00:18:22] 以创新促执法成效，
[00:18:24] 这句话的理解联系实际写一篇文章。
[00:18:27] 请问大家一下，
[00:18:29] 它是双主题吧？
[00:18:30] 好了。
[00:18:30] 双主题，
[00:18:31] 如果刚才那个创新和风险，
[00:18:35] 或者现在和传统是AB类还是ABC类？
[00:18:39] 各位单纯从分论点，
[00:18:41] 它是叫做AB这个同学，
[00:18:43] 大家来看一下，
[00:18:44] 我们问大家一下，
[00:18:45] 你觉得这个应该怎么写？
[00:18:48] 应该怎么写？
[00:18:49] 我问大家一下，
[00:18:50] 这个分论点到底应该怎么写？
[00:18:52] 这个明显是a，
[00:18:53] 这个明显是b，
[00:18:55] 这个明显是c，
[00:18:56] 这个明显是c，
[00:18:57] 但是我们的分论点。
[00:18:58] 是用原是尊重它的原词原句，
[00:19:01] 还是直接再转换一下各位，
[00:19:03] 你会发现我们就尊重它的原词原句也就可以了，
[00:19:08] 我们第一个分论点，
[00:19:09] 你就直接写。
[00:19:10] 用智慧给执法加分，
[00:19:13] 大家觉得可以吧？
[00:19:15] 第二个分论点，
[00:19:16] 我们就直接摘抄说，
[00:19:19] 以创新促执法成效。
[00:19:21] 然后也就可以了，
[00:19:22] 现在听懂了吗？
[00:19:23] 但是有没有同学能够看出这个分论点的结构是什么？
[00:19:27] 哪位同学可以告诉我？
[00:19:29] 你告诉我这两个分论点的结构是什么？
[00:19:33] 是不是智慧？
[00:19:34] 是a执法是c，
[00:19:35] 也就是在说a对c的影响。
[00:19:37] 大家同意吗？
[00:19:38] 好了，
[00:19:39] 然后创新和执法，
[00:19:41] 这个是在说什么？
[00:19:42] 是不是在说b对c的影响？
[00:19:45] 大家同意吗？
[00:19:46] 好了，
[00:19:47] 那么第三个分论点应该怎么说？
[00:19:50] 第三个分论点是不是就是我们需要？
[00:19:55] 将智慧与创新。
[00:20:00] 完美结合，
[00:20:01] 全面提升执法质量，
[00:20:03] 这样也就可以了。
[00:20:05] 好，
[00:20:05] 大家现在这个能够看懂的话，
[00:20:08] 就给老师打飞机。
[00:20:10] 这是第一个分论点，
[00:20:11] 这是第二个分论点，
[00:20:12] 这个是第三个分论点，
[00:20:14] 能看懂的话给老师打个一，
[00:20:16] 各位有的同学说老师，
[00:20:17] 你这个还需要讲吗？
[00:20:19] 各位这个不就是抄原词原句吗？
[00:20:21] 这个还需要你讲吗？
[00:20:22] 我给大家说一下，
[00:20:24] 如果我不讲的话，
[00:20:25] 考试的时候依然有一半的同学要跑题，
[00:20:28] 虽然都是原词原句，
[00:20:29] 但是来看看这个的原词原句和上面的有什么不同？
[00:20:33] 请问用智慧给指法加分，
[00:20:36] 它是a对b还是a对c？
[00:20:38] 判断一下是不是在讲a对c的影响啊？
[00:20:43] 然后以创新促执法成效，
[00:20:45] 它是a对b还是a对c？
[00:20:48] 是不是在说b对c的影响啊？
[00:20:51] 然后呢，
[00:20:52] 第三个用智慧和创新完美结合，
[00:20:55] 这是要把a和b结合起来，
[00:20:57] 怎么干提升行政执法质量？
[00:20:59] 然后呢，
[00:21:00] 它会对c产生一个什么样的影响？
[00:21:03] 这个逻辑大家觉得可以过的话，
[00:21:05] 就给老师打个过好了，
[00:21:07] 如果你这个逻辑理解了，
[00:21:09] 我们再来看看。
[00:21:10] 同样是一句话。
[00:21:11] 各位大家告诉我，
[00:21:13] 这个是在说a对b的影响，
[00:21:15] 还是在说a对c的影响？
[00:21:18] 同学们。
[00:21:18] 这个是不是在说a对？
[00:21:21] b的影响啊，
[00:21:22] 同意吗？
[00:21:23] 这个是在说b对c的影响，
[00:21:26] 还是在说b对a的影响？
[00:21:28] 这个是不是在说b对a的影响啊？
[00:21:31] 大家同意吗？
[00:21:32] 好了，
[00:21:33] 最后这句话是在说什么？
[00:21:35] 是在说a+b结合起来怎么干？
[00:21:39] 同意吧。
[00:21:39] 这个是在说a+b结合起来，
[00:21:42] 对于c有什么影响，
[00:21:44] 大家现在可以过的话就给老师打个过，
[00:21:48] 你看啊。
[00:21:48] 这里面的区别虽然同样都是照抄题干当中的话，
[00:21:52] 但它的结构一个是a对b，
[00:21:55] 后面那个就是在说a对c。
[00:21:57] 后面那个就是在说a对c，
[00:21:59] 它是不一样的，
[00:22:00] 一定要给我看清楚好吧，
[00:22:02] 这个文章的话呢，
[00:22:03] 这个题目请问大家下还需不需要看文章？
[00:22:07] 同学们，
[00:22:07] 这个题目还需不需要看文章？
[00:22:10] 你看文章也白看，
[00:22:11] 为什么人因为人家把把c都给你搞出来了，
[00:22:15] 就不需要了？
[00:22:16] 好，
[00:22:16] 大家来看一下这个题目。
[00:22:19] 我想给大家讲一下这个题目，
[00:22:22] 这个题目你们觉得它是单主题，
[00:22:25] 双主题还是多主题，
[00:22:27] 认真的告诉东哥一下。
[00:22:29] 你来看一下。
[00:22:30] 对于我们来讲的话，
[00:22:32] 就是它是单主题，
[00:22:34] 双主题还是一个多主题，
[00:22:36] 各位它肯定是一个双主题。
[00:22:39] 双主题在考试的时候，
[00:22:41] 我们大家下一共有几种模式，
[00:22:43] 我给大家说的一种是考察AB类。
[00:22:46] 一种是考察ABC类，
[00:22:48] 各位如果单看这个题干的话，
[00:22:52] 大家觉得它是AB还是ABC？
[00:22:55] 单看题干，
[00:22:56] 它肯定是在说一个AB吧，
[00:22:59] 但是这个题目你需要它加了一个引号，
[00:23:03] 你需要看一下材料。
[00:23:05] 哇，
[00:23:05] 结果我一看材料，
[00:23:07] 我发现他说的不变，
[00:23:09] 他说的变，
[00:23:11] 他说的变，
[00:23:12] 他说的变。
[00:23:13] 都是在说文化方面。
[00:23:16] 也就是特指某一个领域，
[00:23:18] 如果特指某一个领域，
[00:23:21] 请问是在说AB还是在说ABC？
[00:23:24] 哪位同学可以直接告诉我，
[00:23:26] 特指某一个领域是在说AB还是在说ABC，
[00:23:30] 它是在说ABC。
[00:23:31] 好了，
[00:23:32] 那么我问大家一下，
[00:23:34] 他是在说ABC，
[00:23:35] 这个时候我们应该怎么办？
[00:23:38] ABC它的分论点应该怎么写？
[00:23:41] 哪位同学可以告诉我ABC的分论点？
[00:23:44] 第一个分论点应该怎么写？
[00:23:46] 写成a对c有什么影响？
[00:23:48] 第二个分论点应该写成b对c有什么影响？
[00:23:52] 第三个分论点应该写成a+b。
[00:23:55] 结合起来怎么干？
[00:23:57] 对c有什么影响？
[00:23:58] 现在听懂了吗？
[00:23:59] 好了，
[00:24:00] 那么我们的第一个分类点就是以不变应万变。
[00:24:04] 是绘就文化发展新篇章的登山之所，
[00:24:08] 我们也就出来了。
[00:24:10] 我们第二个分论点，
[00:24:12] 也就是应该是以变应变。
[00:24:15] 是绘就文化发展的开山之镐。
[00:24:18] 现在听明白了吧？
[00:24:19] 第三个分论点，
[00:24:21] 我们要努力实践不变和变的。
[00:24:24] 良性互动是绘就文化发展的循境之途。
[00:24:28] 现在清晰了不？
[00:24:29] 各位就是什么时候看题干什么时候不用啊？
[00:24:33] 什么时候看材料？
[00:24:35] 什么时候不用看材料，
[00:24:37] 我再用这两个给你对比一下，
[00:24:39] 请问大家下这个题目还需不需要去看材料？
[00:24:43] 这个题目认真看一下，
[00:24:45] 它是双主题的，
[00:24:47] 它是AB类。
[00:24:48] 还是ABC类，
[00:24:49] 哪位同学可以告诉我，
[00:24:51] 认真琢磨一下这个题目，
[00:24:54] 从题干它是AB类还是ABC类，
[00:24:57] 你会发现它肯定是ABC类。
[00:24:59] 这个是a，
[00:25:00] 这个是b，
[00:25:01] 这个是c，
[00:25:02] 这样的话呢，
[00:25:03] 我就不需要看了，
[00:25:04] 我为什么需要看材料，
[00:25:06] 就是因为到底要判断它是ABC还是AB？
[00:25:09] 如果他从题干当中就能够锁定是ABC的，
[00:25:13] 就不需要看材料了，
[00:25:15] 现在大家清晰的话，
[00:25:17] 给老师打飞机。
[00:25:19] 只要你从题干，
[00:25:20] 就能够直接锁定是ABC的，
[00:25:23] 就不用看材料了，
[00:25:26] 但是。
[00:25:26] 如果从题干，
[00:25:28] 他是看不出来是AB类还是ABC类，
[00:25:31] 也就是从题干，
[00:25:33] 他看起来可能他看起来是个AB的。
[00:25:37] 需不需要看材料，
[00:25:38] 需要的话给老师打个机。
[00:25:40] 不需要的话，
[00:25:41] 给老师打个二各位，
[00:25:43] 那也是AB类，
[00:25:44] 就是需要看材料的好了，
[00:25:47] 那我问大家一下。
[00:25:48] 如果在考试的时候，
[00:25:50] 我们有个同学就跟东哥完全不一样，
[00:25:53] 他就说老师我第一个分论点就写成我们要以不变应万变，
[00:25:58] 我第二个分论点就写成我们要以变。
[00:26:01] 应变大家觉得可以不就直接这句话做成第一个分论点，
[00:26:05] 这句话做成第二个分论点可以不也是可以的啊，
[00:26:09] 当然如果你加一个c。
[00:26:11] 把它特值的领域说出来，
[00:26:13] 当然是更好一些，
[00:26:14] 这个没有问题好，
[00:26:16] 那么这是第一个分论点，
[00:26:18] 这是第二个分论点。
[00:26:20] 这是a对c的影响，
[00:26:22] 这是b对c的影响，
[00:26:24] 这是a和b结合起来怎么干？
[00:26:28] 它会对c产生一个什么样的影响？
[00:26:31] 这是第三个分论点，
[00:26:33] 大家觉得可以过的话就给老师打个过，
[00:26:36] 各位我接一个题目也就给大家搞定了好吧？
[00:26:39] 好，
[00:26:39] 再接着往下走，
[00:26:40] 大家来看一下这个题目应该怎么办？
[00:26:44] 大家首先来看一下这个题目，
[00:26:46] 你觉得是单主题。
[00:26:48] 双主题还是一个多主题，
[00:26:50] 哪位同学可以告诉我这个题目是单主题，
[00:26:54] 双主题还是一个多主题，
[00:26:56] 各位对于我来讲的话。
[00:26:58] 面子里子我一看它有这种辩证关系，
[00:27:01] 它是一个双胞胎，
[00:27:03] 我大概率觉得它就是一个双主题。
[00:27:06] 那么，
[00:27:06] 从题干当中，
[00:27:08] 各位你觉得只看题干的话，
[00:27:11] 能否确定它就是一个ABC？
[00:27:13] 能就给老师打个，
[00:27:15] 能不能就打个不能看一下大家的情况，
[00:27:18] 各位如果只看题干，
[00:27:20] 我是没有办法判断出来，
[00:27:22] 它就是ABC的。
[00:27:23] 所以这个时候我需不需要结合材料，
[00:27:26] 哪位同学可以告诉我，
[00:27:28] 所以这个时候我大概率还是需要结合材料的。
[00:27:32] 好了，
