[00:00:00] 窗外的麻雀在电线杆上多嘴。
[00:11:13] 粗读要读断首句。
[00:11:15] 要读断尾句，
[00:11:17] 要读关联词，
[00:11:18] 关键词，
[00:11:19] 高频词，
[00:11:20] 还要读什么，
[00:11:22] 还要读相关的主体。
[00:11:24] 现在清晰了吗？
[00:11:26] 清晰的话，
[00:11:27] 也就给老师打飞机，
[00:11:29] 但是有的时候我们如果前面是故事性的材料，
[00:11:33] 最后一段是规范的表述。
[00:11:36] 有的时候你可以从首段和尾段当中去找规范的表述，
[00:11:42] 当中的对策。
[00:11:43] 如果你首段尾段找不到的话，
[00:11:46] 你就把每个自然段。
[00:11:49] 去读断首句，
[00:11:50] 断尾句，
[00:11:51] 高频词，
[00:11:51] 关联词，
[00:11:52] 关键词，
[00:11:53] 主体现在清晰了吗？
[00:11:55] 我再给大家说一下啊。
[00:11:57] 我们找分论点的话。
[00:11:59] 请问大家一下。
[00:12:01] 总结一下啊，
[00:12:02] 画个思维导图，
[00:12:04] 最快的方式，
[00:12:05] 请问是从哪里找第一种最快的方式啊？
[00:12:09] 最快的方式是从题干当中看看有没有。
[00:12:14] 题干当中，
[00:12:15] 如果有的话，
[00:12:16] 我们应该找什么？
[00:12:18] 是不是就是找对策？
[00:12:20] 也就是找动词，
[00:12:21] 再加上一个。
[00:12:22] 事情，
[00:12:23] 然后呢，
[00:12:23] 接着来讲，
[00:12:24] 我问大家一下分论点，
[00:12:26] 从题干当中可以找还可以呢，
[00:12:29] 记住了最快的方式，
[00:12:31] 你看看材料的。
[00:12:33] 手段和尾段有没有相关的？
[00:12:37] 这种对策也是找动词加事情。
[00:12:41] 我问大家一下，
[00:12:42] 为什么从手段和尾段往往能够加快速度？
[00:12:47] 哪位同学可以告诉我？
[00:12:49] 因为现在的材料大多都是总分总的关系，
[00:12:54] 大多都是分总的关系。
[00:12:57] 所以的话呢，
[00:12:58] 他从总结段里边去找那个总的对策比较好，
[00:13:02] 找好了接着就是中间最常用的一种。
[00:13:06] 分论点，
[00:13:07] 大家给老师记住了，
[00:13:09] 是读每一段的段首句。
[00:13:12] 断尾句。
[00:13:14] 高频词。
[00:13:16] 关联词，
[00:13:17] 关键词和相关的主体从这里边呢去挖掘出我们的对策。
[00:13:25] 行吧，
[00:13:25] 最慢的一种情况，
[00:13:27] 大家觉得应该怎么办？
[00:13:29] 最慢的情况，
[00:13:30] 你就是把这是每一段啊，
[00:13:33] 这是每一段。
[00:13:35] 那么，
[00:13:36] 这是首尾段最慢的情况，
[00:13:39] 怎么办？
[00:13:40] 就是把每一句。
[00:13:43] 每一句的就是对策和影响，
[00:13:47] 给我找出来，
[00:13:49] 然后选出那个大哥。
[00:13:52] 现在能够听懂的话，
[00:13:53] 给老师打个一，
[00:13:54] 你会发现它和我们小题很像，
[00:13:57] 它和我们小题很像，
[00:13:58] 现在听明白了吧，
[00:14:00] 这是最慢的情况，
[00:14:01] 绝大多数情。
[00:14:02] 时候不需要用最慢的情况啊，
[00:14:05] 不需要绝大多数情况，
[00:14:07] 用第一种和第二种就能够解决。
[00:14:09] 好了，
[00:14:10] 这样说起来的话呢，
[00:14:11] 大家还不一定能够理解我们，
[00:14:14] 给大家先看一个简单的题目啊，
[00:14:16] 简单的题目单主题的分论点，
[00:14:18] 记住了一般来源于材料。
[00:14:20] 或者是来源于前面的客观小题，
[00:14:23] 但是呢，
[00:14:24] 在讲单主题之前，
[00:14:25] 我给大家先讲一个废话。
[00:14:28] 先讲一个废话，
[00:14:29] 大家首先来看一下这个题目，
[00:14:32] 大家看请深刻领悟背景材料中。
[00:14:35] 某人关于国家治理的重要论述联系实际，
[00:14:38] 写一篇议论文，
[00:14:40] 我现在问大家一下，
[00:14:41] 你们觉得这个题目它的主题是在说什么？
[00:14:45] 各位，
[00:14:46] 它的主题标题是不是一定是围绕国家治理这几个词说的，
[00:14:51] 然后我们到材料当中？
[00:14:54] 要找分论点的话，
[00:14:55] 应该找什么哪位同学告诉我分论点，
[00:14:58] 我们在考试的时候最重要的是找哪一个要素。
[00:15:03] 是不是找对策，
[00:15:04] 找对策，
[00:15:05] 找对策，
[00:15:06] 那我就看一下断首句断尾句的对策。
[00:15:10] 好，
[00:15:10] 大家来看一下这第一个自然段，
[00:15:13] 只有一句话，
[00:15:14] 我问大家一下，
[00:15:15] 在第一个自然段这一句话当中，
[00:15:18] 如果要给我选出一个对策。
[00:15:21] 大家觉得有哪个词可以作为对策，
[00:15:24] 你会发现依法治国是对策吧，
[00:15:27] 以德治国也是一个对策吧。
[00:15:30] 好了，
[00:15:31] 我们再还有一个法治，
[00:15:33] 还有一个德治，
[00:15:35] 这是断首句。
[00:15:36] 然后呢？
[00:15:37] 这个是一个断尾句，
[00:15:39] 他们还共同构成了一个高频词，
[00:15:42] 所以我大体就知道国家治理。
[00:15:45] 它主要两个对策，
[00:15:47] 一个是依法治国，
[00:15:48] 一个是以德治国，
[00:15:49] 别着急，
[00:15:50] 再来看一下第二段的断首句。
[00:15:53] 我问大家一下，
[00:15:54] 第二段段首句有没有看出哪个对策？
[00:15:57] 是不是依法治国？
[00:15:58] 是不是以德治国？
[00:16:00] 现在发现了吗？
[00:16:01] 再来看一下。
[00:16:02] 断尾句。
[00:16:03] 断尾句是在讲什么？
[00:16:05] 是在讲断尾句。
[00:16:07] 大家来看一下它本质上还是在说依法治国和。
[00:16:11] 这是依法治国，
[00:16:13] 这是以德治国，
[00:16:14] 本质上还是对它的解释依然是这两个好了，
[00:16:18] 再来看一下断首句。
[00:16:20] 大家看这个段首句子当中包含了什么？
[00:16:23] 包含了国家治理体系和治理能力，
[00:16:27] 包含了依法治国和以德治国。
[00:16:30] 包含了法依法治国和以德治国，
[00:16:33] 所以我请问大家一下，
[00:16:35] 大家拿到这个题目，
[00:16:37] 你们觉得它是单主题，
[00:16:39] 双主题还是多主题？
[00:16:41] 同学们，
[00:16:42] 能不能给老师看出来就是整体，
[00:16:45] 你看一下这个材料是单主题，
[00:16:47] 双主题还是多主题，
[00:16:49] 毫无疑问依法治国和以德治国。
[00:16:52] 是不是他们两个是有一个并列关系啊，
[00:16:55] 这个时候再加上我，
[00:16:57] 我问大家一下，
[00:16:59] 如果是双主题的话。
[00:17:01] 考试的时候，
[00:17:02] 一种是叫ABC。
[00:17:04] 还有一种是叫AB，
[00:17:06] 你觉得这个题目是在说ABC还是在说一个AB？
[00:17:11] 这个如果说c呢，
[00:17:12] 就是特定有某一个主题，
[00:17:14] 你看题干当中已经说了，
[00:17:16] 就是代表国家治理，
[00:17:18] 所以这个题目它是ABC。
[00:17:20] 好了，
[00:17:21] 我请问大家一下ABC的话，
[00:17:23] 它的分论点应该是什么？
[00:17:26] 哪位同学可以告诉我？
[00:17:28] ABC大家记住了，
[00:17:30] 一般就是三个分论点，
[00:17:32] 第一个分论点，
[00:17:33] 大家一起写ABC有什么影响，
[00:17:35] 也就是依法治国，
[00:17:37] 对于国家治理现代化有什么影响？
[00:17:40] 第二个分论点是b对c有什么影响，
[00:17:43] 记住了，
[00:17:44] 这前两个都是在说一个影响。
[00:17:47] 然后呢，
[00:17:48] 第三个分论点呢，
[00:17:49] 大家一起写就是a+b结合起来怎么干？
[00:17:53] 对c有什么影响？
[00:17:55] 现在能够听懂吗？
[00:17:56] 好了，
[00:17:57] 我问大家一下a是什么？
[00:17:59] 哪位同学可以告诉我a是什么？
[00:18:02] 各位，
[00:18:02] 我们刚才在材料当中已经找到了a，
[00:18:05] 就是依法治国，
[00:18:07] 也就是叫法治。
[00:18:09] 好了，
[00:18:09] 法治对于c也就是对于国家治理现代化的影响，
[00:18:15] 所以大家一起写国家。
[00:18:19] 治理。
[00:18:22] 现代化一起把它搞定。
[00:18:25] OK，
[00:18:25] 那么下面的话呢，
[00:18:27] 大家就把它润色一下，
[00:18:30] 法治它的影响是国家治理现代化。
[00:18:34] 到各位后面给老师打四个字，
[00:18:37] 你们会打哪四个字？
[00:18:38] 福利点的润色我已经让大家背了很多种模板，
[00:18:43] 你们。
[00:18:43] 打哪四个字？
[00:18:44] 法治是国家治理现代化的各位叫什么？
[00:18:48] 登山之所必由之路，
[00:18:50] 还有叫什么？
[00:18:51] 刚性依托，
[00:18:52] 根本保证。
[00:18:53] 大家觉得可以不啊，
[00:18:54] 绝对是没有问题的，
[00:18:56] 刚定盘星可不可以都是可以的，
[00:18:58] 压舱石可不可以根本保证，
[00:19:00] 可不可以制胜制道行不行，
[00:19:02] 核心之意行不行？
[00:19:03] 都是可以的，
[00:19:04] 所以大家一起写刚性。
[00:19:07] 依托一起把它搞定。
[00:19:11] 好了，
[00:19:11] 另外一个我再问大家一下。
[00:19:14] b有没有同学告诉我指的是哪个词b对于我们来讲是不是指的一个德智啊？
[00:19:22] 德治是什么？
[00:19:24] 哪位同学可以告诉我，
[00:19:28] 德治是国家。
[00:19:31] 治理。
[00:19:34] 现代化。
[00:19:38] 的各位，
[00:19:39] 后面给老师打四个字叫什么字？
[00:19:42] 有没有同学背了我，
[00:19:45] 我给大家说过了，
[00:19:47] 有刚性依托反过来。
[00:19:49] 再说一个叫什么？
[00:19:50] 柔性。
[00:19:52] 保障大家一起把它写下来，
[00:19:55] 柔性保障。
[00:19:56] 好了，
[00:19:57] 我们大家下第三个应该怎么写？
[00:20:00] 把a和b结合a，
[00:20:02] 它是指的一个法制。
[00:20:04] b它是指的一个德智。
[00:20:08] 它们俩要结合，
[00:20:09] 应该怎么办？
[00:20:11] 一起写协同。
[00:20:13] 发力好了，
[00:20:14] 我问大家一下，
[00:20:16] 它对于c对于国家治理现代化有什么好处？
[00:20:21] 祝国家。
[00:20:25] 治理。
[00:20:27] 现代化。
[00:20:29] 有什么好处？
[00:20:32] 迈步坦途。
[00:20:34] 迈步坦途，
[00:20:35] 一起把它搞定。
[00:20:37] 现在大家清晰了吗？
[00:20:40] 各位，
[00:20:40] 这是第一个。
[00:20:42] 这是第二个，
[00:20:43] 这是第三个，
[00:20:44] 这是我们的三个分论点，
[00:20:45] 大家一定把它给我搞定啊，
[00:20:48] 这是第三个分论点，
[00:20:49] 第三个分论点，
[00:20:50] 大家记住了。
[00:20:51] 你就把它死记硬背，
[00:20:53] 不理解就把它记住了也就行了，
[00:20:55] 但是这个题目我只想教给大家，
[00:20:58] 最重要的是在说什么，
[00:20:59] 你可以从断手去。
[00:21:01] 你可以从断尾句，
[00:21:02] 你可以从高频词去找什么去找我们分论点的一个对策。
[00:21:08] 这个大家能够听明白的就给老师打个过好了，
[00:21:12] 这三个分论点也就给大家写到这了，
[00:21:14] 各位那我问大家一下，
[00:21:16] 如果在考试的时候哎，
[00:21:17] 我120斤，
[00:21:18] 但是我有130斤的反骨。
[00:21:21] 我这个我知道，
[00:21:22] 老师你说的是影响这个，
[00:21:24] 我也知道你说的是影响这个，
[00:21:26] 我知道你说的是一个总的对策。
[00:21:29] 但是如果倒过来，
[00:21:31] 我这个你这个模式是a对c的影响是b对c的影响是a+b结合起来对c的影响。
[00:21:39] 我问大家下，
[00:21:40] 我如果是把第一个改成要想实现c，
[00:21:43] 需要先干a接着要想实现c，
[00:21:46] 需要先干b。
[00:21:47] 再接着，
[00:21:48] 要想实现c，
[00:21:49] 需要把a和b结合起来干，
[00:21:52] 大家觉得我用第二种作为我的分论点可行还是不可行？
[00:21:57] 各位，
[00:21:57] 我用这种作为我的分论点可行还是不可行，
[00:22:01] 也就是要想实现国家治理现代化，
[00:22:04] 首先需要坚持依法治国，
[00:22:05] 要想实现国家治理现代化。
[00:22:08] 还要坚持以德治国。
[00:22:09] 要想实现啊，
[00:22:10] 那么要坚持国家治理呃，
[00:22:12] 德治和法治相结合，
[00:22:13] 才能够实现行吧，
[00:22:15] 完全没有问题的，
[00:22:16] 或者要实现国家治理现代化，
[00:22:18] 需要把德治和法治协同发力。
[00:22:21] 完全没有问题，
[00:22:22] 记住了，
[00:22:22] 关键词都覆盖了。
[00:22:24] 好了，
[00:22:24] 再接着给大家看，
[00:22:26] 大家来看一下这个题目，
[00:22:28] 你告诉我，
[00:22:29] 它是让我们写成一篇策论文。
[00:22:32] 请问大家一下，
[00:22:33] 策略文在考试的时候，
[00:22:35] 我们分论点主要是找什么要素？
[00:22:38] 哪位同学能够告诉我？
[00:22:40] 策略文是不是最重要的，
[00:22:43] 就是找对策。
[00:22:44] 那么，
[00:22:44] 策略文它分论点的模式应该是什么？
[00:22:48] 分论点的模式是不是就是应该总论点加上一个对策总论点，
[00:22:55] 记住了它就等于标题的。
[00:22:58] 前半句因为标题的前半句肯定就是在说对策，
[00:23:01] 这就是在说策论文，
[00:23:03] 所以你们告诉我总论点应该是什么？
[00:23:06] 哪位同学可以告诉我，
[00:23:08] 总论点是不是就是优化营商环境啊？
[00:23:11] 或者进一步优化营商环境啊？
[00:23:14] 那么，
[00:23:15] 我们需要干一件事情，
[00:23:17] 需要干两件事情，
[00:23:18] 需要干三件事情，
[00:23:19] 这大体就是我们的答案。
[00:23:21] 那么，
[00:23:22] 请问大家一下，
[00:23:23] 我们如果想要转这个对策的话。
[00:23:25] 应该怎么找就记住袁东老师站在你身后说粗读粗读读什么断首句断尾句关联词关键词高频词，
[00:23:34] 还有主体。
[00:23:35] 它不会超出这个范畴，
[00:23:37] 好了，
[00:23:37] 大家来看一下。
[00:23:39] 我们应该怎么办？
[00:23:40] 首先来看一下这个自然段和这个自然段是在说什么，
[00:23:45] 你会发现中间出现了一个李某，
[00:23:48] 中间出现了一个李某。
[00:23:50] 这个时候我问大家下它是不是一个例子，
[00:23:54] 要不要从例子当中出点记住了分论点和总括词前置词一样，
[00:23:58] 例子当中不用出点。
[00:24:00] 然后这一段是在说一个规范的表述是吧？
[00:24:05] 这一段是在说一个规范的表述。
[00:24:08] 好了，
[00:24:08] 我问大家一下，
[00:24:10] 你们觉得这个规范的表述是在说什么？
[00:24:14] 哪位同学可以告诉我？
[00:24:16] 这个规范的表述，
[00:24:17] 你们觉得是在说什么？
[00:24:19] 哪位同学能够告诉我这个规范的表述是不是在说对策？
[00:24:24] 这个放管服改革和优化营商环境是一个意思，
[00:24:28] 不用出点好了，
[00:24:29] 行政审批服务马上办，
[00:24:32] 网上办，
[00:24:32] 就近办，
[00:24:33] 一次办，
[00:24:34] 自助办。
[00:24:34] 请问大家下，
[00:24:35] 还有这个它当然是一个对策，
[00:24:38] 但是这个对策的话呢，
[00:24:40] 如果变成一个分论点的话，
[00:24:42] 我觉得我敢我搞不定。
[00:24:44] 请问大家一下，
[00:24:46] 你们看到马上网上就近一次自助，
[00:24:50] 你觉得应该想到哪个词？
[00:24:53] 应该想到哪个词？
[00:24:54] 各位应该想到哪个词？
[00:24:56] 各位，
[00:24:57] 如果说你想不出来的话，
[00:24:59] 其实你从前面看一下。
[00:25:01] 它有一个非常重要的词，
[00:25:03] 叫办事效率。
[00:25:04] 它其实是在说效率，
[00:25:05] 大家能够同意吗？
[00:25:07] 所以我问大家一下，
[00:25:08] 进一步优化营商环境。
[00:25:10] 他就应该把服务的效率给提高，
[00:25:13] 请问大家下这个服务的效率，
[00:25:16] 你指的是什么服务的效率？
[00:25:18] 它这上面指的是啊，
[00:25:20] 行政审批你可以把行政审批呢，
[00:25:22] 稍微拔高一下，
[00:25:23] 那么这个时候大家一起写应。
[00:25:26] 提升。
[00:25:30] 正卧。
[00:25:32] 服务效率，
[00:25:33] 大家一起把它写下来也就可以了啊，
[00:25:37] 你看这这这个词的话呢，
[00:25:40] 因为它在引号里边不规范，
[00:25:42] 所以呢，
[00:25:43] 我们就找了。
[00:25:44] 这个效率或者你自己把它总结成效率也是可以的好吧啊，
[00:25:49] 好了，
[00:25:50] 我们大家下这个是一个档次。
[00:25:52] 然后呢，
[00:25:53] 接着他又说第二个层次，
[00:25:55] 大家来看一下，
[00:25:57] 在这个自然段和这个自然段读一下段首句。
[00:26:01] 请问断首句，
[00:26:02] 如果要找对策的话，
[00:26:04] 它的对策主要指的是什么？
[00:26:06] 是不是沟通啊？
[00:26:08] 是不是指的是一个沟通啊，
[00:26:10] 而且是指的一个政企沟通啊，
[00:26:13] 然后再来看一下断尾句断尾句，
[00:26:15] 它如果是在说对策的话。
[00:26:18] 是不是还是在说一个政企沟通的渠道啊，
[00:26:21] 大家能够同意吗？
[00:26:22] 是不是在说一个政企沟通的渠道？
[00:26:25] 下面还是在说政企沟通的渠道，
[00:26:28] 你看这些对策当中，
[00:26:30] 我们如果最终要出一个对策的话，
[00:26:32] 应该出什么？
[00:26:34] 是不是叫政企沟通渠道，
[00:26:37] 大家一起写下来政企沟通？
[00:26:41] 渠道，
[00:26:42] 这就是我们的第二个分类点，
[00:26:45] 把政企沟通渠道给老师加一个动词，
[00:26:48] 变成一个对策，
[00:26:49] 你觉得加哪个动词比较合适？
[00:26:52] 你会发现啊，
[00:26:53] 这个跟本来就是一个总结，
[00:26:56] 这个服务中心政企沟通渠道，
[00:26:58] 我们为什么要建这个中心呢？
[00:27:00] 不就是为了我们要。
[00:27:02] 拓宽吗？
[00:27:03] 所以这就是我们的第二个分论点，
[00:27:06] 能够听懂的话，
[00:27:07] 给老师打个二也就可以了。
[00:27:10] 好了，
[00:27:10] 别着急。
[00:27:11] 下面我再带着大家往下走，
[00:27:13] 大家来看一下下面的这个自然段，
[00:27:17] 你会发现这个段首句。
[00:27:19] 和优化营商环境是一个意思，
[00:27:21] 就不用管了，
[00:27:22] 这个是指的一个成效，
[00:27:24] 也不用管了，
[00:27:25] 好了再来看一下这个断首句。
[00:27:27] 这个断首句当中，
[00:27:28] 我请问大家一下，
[00:27:30] 如果有一个对策的话，
[00:27:31] 这个对策的关键词应该是什么？
[00:27:34] 抓紧时间来看一下，
[00:27:35] 我给你。
[00:27:36] 画括弧的这句话，
[00:27:37] 如果出现一个对策，
[00:27:39] 对策就是找动词，
[00:27:41] 再加上一个事情，
[00:27:42] 把那个关键词踩中了也就可以了。
[00:27:46] 这个关键词是不是就是在说一个服务啊，
[00:27:49] 大家同意吗？
[00:27:51] 是不是就搞了一个服务啊？
[00:27:53] 这个服务是专门。
[00:27:55] 针对民营经济的是专门针对民营企业的，
[00:27:58] 然后呢，
[00:27:59] 我不一定能够总结出来是吧？
[00:28:02] 但是我再来看一下断尾句。
[00:28:04] 请问大家一下断尾句，
[00:28:06] 如果要找一个对策的话，
[00:28:08] 最总结的那个对策或或者是高频词，
[00:28:11] 大家看到是哪一个？
[00:28:13] 各位一起瞧瞧评论区断尾句，
[00:28:16] 哪个词可以作为我们的高频词，
[00:28:19] 也可以作为我们的对策。
[00:28:21] 是不是在说一个专项服务啊，
[00:28:24] 所以大家把专项服务给老师一起写下来。
[00:28:28] 专项。
[00:28:30] 服务活动哎，
[00:28:31] 把它搞定前面给老师加一个动词，
[00:28:35] 请问大家下你会加哪一个动词？
[00:28:39] 你觉得比较合适？
[00:28:41] 你会加哪一个动词？
