[00:01:18] 大家现在能够听见吗？
[00:05:10] 我们再带着大家往下看啊，
[00:05:13] 大家来看一下。
[00:05:14] 就是第一个新，
[00:05:15] 从第一个资产段当中，
[00:05:18] 大家有没有看到出现三个新当中的任何一个新？
[00:05:22] 你会发现没有吧，
[00:05:24] 但是第二个自然段当中看一下断首句断尾句先粗读一下，
[00:05:29] 有没有看到任何一个心？
[00:05:31] 看没看到这个艰辛，
[00:05:33] 请问这个艰辛能不能理解成我们刚才心路的心？
[00:05:39] 能不能自圆其说？
[00:05:40] 那我觉得还是没有任何问题的吧，
[00:05:43] 好了再来看一下第三个自然段没有出现新，
[00:05:46] 第四个自然段有没有出现新？
[00:05:48] 你会发现出现了一个新，
[00:05:51] 这个新呢是指新路，
[00:05:52] 但是他并没有对这个新进行一个解释，
[00:05:55] 所以我暂时先不要看它。
[00:05:57] 好了，
[00:05:58] 再带着大家往下走啊，
[00:06:00] 大家来看一下第五个自然段有没有同学能够看到出没出现任何的一个新？
[00:06:07] 你会发现也没有那么第六个自然段有没有出现任何一个新，
[00:06:13] 第六个自然段也没有好了，
[00:06:15] 第七个自然段。
[00:06:16] 大家觉得有没有出现任何一个新各位告诉我，
[00:06:21] 第六个自然段是不是出现了一个新理念？
[00:06:25] 是不是出现了一个新动力？
[00:06:27] 是不是出现了一个新路子？
[00:06:30] 如果上一个新，
[00:06:32] 它是代表艰辛的话。
[00:06:35] 那么，
[00:06:36] 这时候的这个心，
[00:06:38] 它是代表什么？
[00:06:39] 哪位同学可以告诉我？
[00:06:41] 这个心是不是就是代表一个创新啊，
[00:06:45] 大家能够同意吧，
[00:06:46] 如果上一个心是代表就是艰辛的话，
[00:06:50] 那这个心就是代表创新。
[00:06:52] 好了，
[00:06:53] 我们再带着大家一起往下走，
[00:06:55] 大家再来看一下第八个自然段有没有出现任何一个新？
[00:07:00] 没有，
[00:07:00] 直接把它叉掉，
[00:07:02] 第九个自然段，
[00:07:03] 我就看看有没有出现任何一个新，
[00:07:06] 没有直接把它叉掉。
[00:07:07] 好了，
[00:07:08] 第十个自然段有没有出现任何一个新也没有，
[00:07:11] 还是直接把它叉掉，
[00:07:13] 第11个自然段大家有没有看到出现新？
[00:07:16] 你会发现是不是出现了一个人心的心啊，
[00:07:20] 这个人心的心，
[00:07:21] 请问大家下他在考试的时候能不能解释我们刚才那个？
[00:07:26] 心路心路，
[00:07:27] 要把它变成一个对策，
[00:07:29] 这个散了的人心是代表哪一个要素？
[00:07:33] 哪位同学可以告诉我？
[00:07:36] 散了的人心，
[00:07:37] 是不是代表一个问题啊？
[00:07:39] 我如果想把问题变成一个对策，
[00:07:42] 大家觉得可以把它变成什么对策？
[00:07:45] 大概率分论点的对策就可以变成凝聚人心，
[00:07:49] 这个是没有问题的吧？
[00:07:52] 凝聚人心好了。
[00:07:53] 大家再来看一下第12个自然段，
[00:07:56] 我问大家一下有没有出现新，
[00:07:58] 没有直接把它叉掉，
[00:07:59] 第13个自然段有没有出现新？
[00:08:02] 也没有出现新好了，
[00:08:03] 但这个时候我们基本上把三个新都找出来了，
[00:08:07] 大家现在凭借你们的回忆把三个新分别代表什么？
[00:08:11] 给老师直接敲在。
[00:08:12] 评论区我看看大家的金鱼的记忆，
[00:08:16] 到底是行还是不行？
[00:08:17] 各位第一个心，
[00:08:19] 大家一起写是叫人心，
[00:08:21] 第二个心，
[00:08:22] 大家一起写是叫艰心，
[00:08:24] 第三个心，
[00:08:25] 大家一起写是叫创新。
[00:08:28] 大家能够同意吧，
[00:08:29] 你看啊，
[00:08:30] 叫人心艰辛，
[00:08:31] 还有一个创新，
[00:08:33] 一起把它搞定OK，
[00:08:35] 我们再带着大家来看一下。
[00:08:37] 下面我们就可以把我们的就是分论点写出来了，
[00:08:41] 分论点在考试的时候有几种形式，
[00:08:44] 哪位同学可以告诉我？
[00:08:46] 分论点一共有三种形式，
[00:08:49] 第一种你可以写总论点加影响。
[00:08:52] 第二种你可以写总论点加对策，
[00:08:56] 第三种你可以写总论点加对策，
[00:09:00] 再加上一个影响。
[00:09:03] 同意吧，
[00:09:03] 好了，
[00:09:04] 那我来看一下实现乡村振兴，
[00:09:06] 刚才这三个话题，
[00:09:07] 如果你们都读了材料，
[00:09:09] 你就知道全部是在乡村里边的。
[00:09:12] 乡村里面那么我们的标题，
[00:09:14] 我们的总论点，
[00:09:16] 既可以用标题的前半句，
[00:09:18] 又可以用标题的后半句，
[00:09:20] 一般是用前半句。
[00:09:22] 但是这个题目它标题是新路新路新路，
[00:09:25] 我们大概率用后半句，
[00:09:27] 也就是实现乡村振兴，
[00:09:29] 这是总论点。
[00:09:31] 好了，
[00:09:31] 这个是代表什代表哪个要素？
[00:09:34] 能不能告诉我这个是不是代表分论点的对策？
[00:09:38] 好了，
[00:09:39] 这句话请问大家一下是代表什么意思？
[00:09:43] 哪位同学可以告诉我这句话是不是对分论点？
[00:09:47] 对策的一个解释呀。
[00:09:50] 这个大家能够同意吧？
[00:09:52] 好了，
[00:09:52] 最后这一步，
[00:09:53] 请问大家一下，
[00:09:54] 应该是代表什么？
[00:09:56] 哪位同学可以告诉我？
[00:09:57] 最后这一步是代表什么？
[00:10:00] 是不是代表分论点的影响啊？
[00:10:03] 大家没毛病吧，
[00:10:04] 这一步是代表分论点的影响，
[00:10:06] 也就是总论点加分论点的对策，
[00:10:09] 加分论点的解释，
[00:10:10] 加分论点的影响。
[00:10:12] 这个心是指的人心，
[00:10:14] 这个心是指的艰辛，
[00:10:15] 这个心是指的创新。
[00:10:17] 好了，
[00:10:18] 那我们可以把它写成凝聚人心。
[00:10:21] 不惧不畏艰辛，
[00:10:22] 你如果想把创新写在后面，
[00:10:24] 大家在一起写一个勇于创新，
[00:10:27] 你要真正都想写在后面也是可以的，
[00:10:30] 但是。
[00:10:30] 实际上，
[00:10:31] 阅卷的时候，
[00:10:32] 他只要看到人心艰辛，
[00:10:34] 创新就可以给你分数了。
[00:10:36] 现在听懂了吗？
[00:10:37] 后面的这个是代表影响，
[00:10:39] 我们最好能够把新路新路再回扣一下。
[00:10:42] 就是散了的人心，
[00:10:43] 我们把心路畅通了，
[00:10:45] 那么这个非常艰辛的路，
[00:10:47] 我们把它走稳了，
[00:10:49] 那么这个创新的方法的路，
[00:10:51] 我们把它给铺好了。
[00:10:53] 大家觉得可以吗？
[00:10:54] 大家觉得可以吗？
[00:10:56] 这样的话，
[00:10:56] 我们就完美了啊，
[00:10:58] 这是总论点，
[00:10:59] 这是对策，
[00:11:00] 这是对策，
[00:11:00] 这是分论点。
[00:11:01] 好了，
[00:11:02] 那我问大家一下这个题目，
[00:11:04] 我们还需不需要去看？
[00:11:06] 其他的材料，
[00:11:07] 哪位同学能够告诉我这个题目，
[00:11:09] 咱们还需不需要去看其他的材料，
[00:11:12] 我反复给大家说过了，
[00:11:14] 如果你的分论点。
[00:11:16] 在题干当中，
[00:11:17] 就能够找到你，
[00:11:18] 就直接到题干当中找就行了，
[00:11:20] 这个多主题明显，
[00:11:22] 题干当中就可以把它找出来。
[00:11:24] 另外，
[00:11:25] 如果题干当中找不到，
[00:11:27] 就在这句话材料的出处去找，
[00:11:29] 如果能够找出来，
[00:11:31] 那么就找出来。
[00:11:32] 如果找不出来的话，
[00:11:34] 再从其他材料还有小题当中去找也就可以了，
[00:11:38] 好吧，
[00:11:38] 这个就是我们的分论点。
[00:11:40] 好了，
[00:11:41] 那我们现在要带着大家写一个开头。
[00:11:44] 请问大家下这个开头，
[00:11:46] 我拿到题目之后，
[00:11:47] 我的脑袋就是空白了，
[00:11:49] 应该怎么办？
[00:11:50] 哪位同学可以告诉我？
[00:11:52] 写这个开头脑袋空白了，
[00:11:54] 我们应该怎么办？
[00:11:56] 第一个数字叫名言警句，
[00:11:58] 第二个数字叫影响。
[00:12:00] 第三个数字叫过渡句，
[00:12:02] 第四个数字要写总论点，
[00:12:05] 我有了这四个数字，
[00:12:07] 我脑袋就不慌了。
[00:12:08] 请问首先我要写一个名言警句，
[00:12:11] 但是这个题干当中并没有给我们任何的名言警句，
[00:12:15] 请问一下我们应该怎么办？
[00:12:17] 题干当中，
[00:12:18] 如果没有给我们任何的名言警句，
[00:12:21] 我就问大家下我们怎么办？
[00:12:23] 我们这个时候可不可以自己找一个背景去替换？
[00:12:27] 我们可不可以呃，
[00:12:29] 找一个就是名言警句去替换好了，
[00:12:34] 我现在问大家下。
[00:12:36] 找一个背景也好，
[00:12:37] 找一个名言景句也好，
[00:12:39] 要判断一下这个是在说哪个方面的，
[00:12:42] 你会发现这三则材料都是在说农村的。
[00:12:46] 一些干部。
[00:12:47] 他呢，
[00:12:48] 凝聚人心，
[00:12:49] 他呢，
[00:12:50] 不畏艰辛，
[00:12:51] 他呢，
[00:12:51] 勇于创新，
[00:12:53] 为老百姓干事。
[00:12:55] 各位，
[00:12:55] 它属于哪个哪几个领域？
[00:12:58] 它可能第一个涉及到什么领域？
[00:13:01] 民生的领域吧。
[00:13:03] 那么，
[00:13:03] 他可能第二个也可能涉及到乡村振兴的领域吧，
[00:13:08] 所以我问大家下可不可以直接把它给用上去？
[00:13:12] 那假如说我们用乡村振兴，
[00:13:14] 或者我们用民生领域，
[00:13:16] 能不能找一个背景句或名言警句去代替呢？
[00:13:19] 我之前有没有给大家准备呢？
[00:13:22] 大家来看一下，
[00:13:23] 这里面我们都给大家准备好了，
[00:13:26] 比如说。
[00:13:27] 这一句话请问可不可以改成乡村振兴的有关的背景句，
[00:13:33] 我能不能直接写当前世界之变，
[00:13:37] 时代之变？
[00:13:38] 这个历史我可以把它给改写成什么，
[00:13:41] 哪位同学可以告诉我，
[00:13:43] 我能不能把它改写成乡村呐？
[00:13:45] 或者这个历史我就赶紧放，
[00:13:48] 干脆放在上面，
[00:13:49] 在历史后面再加一个乡村，
[00:13:52] 大家觉得可以不？
[00:13:53] 然后这是没有问题的吧，
[00:13:55] 你看这句话，
[00:13:56] 我把它选出来了，
[00:13:58] 另外我觉得为老百姓做事本质上都是在说民生的问题好吧，
[00:14:03] 为老百姓做事都是在说民生的问题。
[00:14:06] 那我问大家下题干当中并没有给我一句名言警句，
[00:14:10] 我选这个人的话，
[00:14:12] 这句话放在我们大作文的开头做替换，
[00:14:15] 你们觉得可以不？
[00:14:16] 也就是有的人指出啊，
[00:14:18] 我的执政理念概括起来就是为人民服务，
[00:14:22] 担当起该担当的责任，
[00:14:24] 你看你的凝聚人心，
[00:14:26] 你的不畏艰辛，
[00:14:27] 你的勇于创新。
[00:14:29] 是不是都是可以用这个去替换啊？
[00:14:31] 可以吧？
[00:14:32] 好了，
[00:14:32] 那我们就直接给大家把它搞定，
[00:14:35] 大家看这个就是我们的名言警句，
[00:14:38] 我就选了这一个和民生有关的名言警句。
[00:14:41] 好了，
[00:14:42] 然后我问大家一下，
[00:14:44] 再加上这一个背景句，
[00:14:46] 你们觉得可以不再加上这个背景句可以不？
[00:14:50] 但是你看啊，
[00:14:51] 我的这个名言警句是怎么处理的？
[00:14:54] 我先找着。
[00:14:55] 非常牛的那个人的名言放在这个地方，
[00:14:59] 然后呢，
[00:15:00] 我又加了一个背景句，
[00:15:02] 但是我怕我跑题，
[00:15:04] 所以我又把新路新路新路这三个词。
[00:15:07] 给我塞进来了，
[00:15:09] 塞了三个词，
[00:15:10] 你们觉得我这样处理的话，
[00:15:12] 保险还是不保险？
[00:15:14] 你会发现啊，
[00:15:15] 申论在开头第一段最重要的要做的就是保险，
[00:15:19] 因为你第一段如果跑题了，
[00:15:21] 你就没有办法搞了，
[00:15:23] 他也不会再看你下面写的多好了。
[00:15:25] 每年在国考的时候，
[00:15:27] 有60%的同学会跑题好吧，
[00:15:30] 所以这个是非常重要的，
[00:15:32] 好了，
[00:15:32] 大家再来看一下。
[00:15:34] 写完了名言警句，
[00:15:36] 第二步要写影响了各位影响的话要写什么影响？
[00:15:40] 是不是要写新的影响？
[00:15:42] 是不是要写新的影响？
[00:15:45] 是不是要写新路的影响？
[00:15:47] 那么这三个影响，
[00:15:49] 请问大家下是哪个方面的影响？
[00:15:52] 能不能抓紧时间告诉东哥，
[00:15:54] 我给你准备的这些素材，
[00:15:56] 政治，
[00:15:56] 经济，
[00:15:57] 文化，
[00:15:57] 社会，
[00:15:57] 生态哪三个方面的影响，
[00:15:59] 各位是不是大约和？
[00:16:01] 乡村振兴有关呀。
[00:16:03] OK，
[00:16:03] 乡村振兴的影响大家有背吗？
[00:16:06] 这个时候我们来看一下啊。
[00:16:09] 这个乡村振兴的影响，
[00:16:12] 我们来看一下。
[00:16:13] 大概率乡村振兴的影响，
[00:16:16] 有没有让大家背？
[00:16:17] 然后呢，
[00:16:18] 有的同学说，
[00:16:19] 老师我背了，
[00:16:20] 然后呢，
[00:16:21] 我们来看一下。
[00:16:22] 乡村振兴的影响，
[00:16:24] 我就直接给你选了这几句，
[00:16:26] 就是这是第一句，
[00:16:27] 这是第二句，
[00:16:28] 这是第三句，
[00:16:29] 大家觉得可以不？
[00:16:31] 我问大家一下这句话，
[00:16:32] 这三句是可以不？
[00:16:34] 你会发现完全是可以的，
[00:16:36] 但是有的同学说老师我如果选成民生的影响。
[00:16:40] 大家觉得能可以不？
[00:16:42] 他说你这里面不就是新路新路新路不都是为乡村的老百姓做好事吗？
[00:16:48] 那他如果说成说什么呢？
[00:16:50] 他如果说说我选成了对于民生的影响，
[00:16:52] 他说老师啊，
[00:16:53] 你看我就选成这个，
[00:16:55] 我就选成，
[00:16:55] 比如说事关人民群众的根本利益，
[00:16:58] 事关政府政的能力和治理水平的提升，
[00:17:01] 事关社会主义现代化事业的成败。
[00:17:03] 其实你会发现也是可以的，
[00:17:05] 这几个大家选择哪一个都可以，
[00:17:08] 但是因为这个题目，
[00:17:10] 它着重是在说乡村。
[00:17:11] 所以呢，
[00:17:12] 我最终还是给大家说的是一个乡村好吧，
[00:17:16] 然后呢，
[00:17:17] 第三步要加上一个过渡句。
[00:17:19] 这个过渡句，
[00:17:20] 请问你们用的是哪一句？
[00:17:23] 我用的是风雨多，
[00:17:24] 经志弥坚，
[00:17:25] 关山处渡路幽长。
[00:17:27] 然后第四步我要加的是一个总论点，
[00:17:30] 我这个总论点呢，
[00:17:31] 凝聚民心，
[00:17:32] 不畏艰辛，
[00:17:33] 勇于创新，
[00:17:33] 我就把它写进来也就行了，
[00:17:36] 我就把这个扣住了，
[00:17:37] 把这个扣住了，
[00:17:38] 把这个扣住了。
[00:17:40] 把这三点分别的说了一下，
[00:17:42] 大家觉得这个结构这个开头如果没有问题的话，
[00:17:45] 你们可以给老师敲个过。
[00:17:47] 敲完了，
[00:17:48] 过之后我要再问大家一下，
[00:17:51] 就这个题目就是新路新路新路，
[00:17:54] 我可以在这个地方直接。
[00:17:56] 加一个解释不？
[00:17:58] 我可以在这个地方做解释不？
[00:18:01] 各位可以吧，
[00:18:02] 然后但是我如果在我的总论点在这个地方做解释，
[00:18:07] 大家觉得可以不？
[00:18:08] 其实这两个都是可以的，
[00:18:10] 我再给大家说一下，
[00:18:12] 刚才同学们在评论区打的，
[00:18:14] 我已经看到了，
[00:18:15] 很多时候他就是文无定法。
[00:18:17] 它是合情合理也就可以的了，
[00:18:19] 只要你确定做了解释，
[00:18:21] 他在阅卷的时候就能够看到你这三个词，
[00:18:24] 他自然就可以给你分数了，
[00:18:26] 好吗？
[00:18:26] 就可以给你分数了。
[00:18:27] 好了，
[00:18:28] 大家这个觉得可以过的话，
[00:18:30] 也就可以大家过了哈，
[00:18:31] 能够看懂吗？
[00:18:32] 这就是我们经典的写作的开头，
[00:18:34] 那么如果有的同学的话呢？
[00:18:36] 想换一句名言警句的话，
[00:18:39] 可不可以换哪位同学可以告诉我？
[00:18:42] 你看这个就是我们的名言警句，
[00:18:45] 先加一句名言警句。
[00:18:46] 然后再把这个名言警句进行一个解释，
[00:18:50] 解释以人为本啊啊，
[00:18:52] 不畏艰辛，
[00:18:54] 然后第二个。
[00:18:55] 怎么样？
[00:18:55] 这个本质上是在说新路，
[00:18:58] 这个本质上是在说新路，
[00:19:00] 这个大家来看一下是不是在说新路？
[00:19:04] 是吧，
[00:19:04] 然后呢，
[00:19:05] 最后做一个总结，
[00:19:06] 然后呢，
[00:19:07] 最后再来一个分论，
[00:19:08] 再来一个总论点，
[00:19:10] 这种写作也是可以的，
[00:19:12] 但是这种写作呢，
[00:19:13] 我不推荐大家这样写。
[00:19:15] 现在听懂了吗？
[00:19:16] 这种写作绝大多数同学在考试的时候是想不好的，
[00:19:20] 而且这是有个同学给我写的，
[00:19:23] 你如果非要为民服务。
[00:19:25] 把以人为本改成叫什么凝聚人心，
[00:19:28] 你不要给我写成以人为本，
[00:19:31] 你看啊，
[00:19:31] 我看了你们有的同学给我写的。
[00:19:34] 叫以人为本。
[00:19:37] 一定把它搞定，
[00:19:38] 不畏艰辛，
[00:19:39] 然后最后这个是一个背景是吧？
[00:19:41] 最后他你这样敌进的把他拉出来呢，
[00:19:44] 有的时候不够直接，
[00:19:46] 你干脆一口气给他说完。
[00:19:48] 另外一个，
[00:19:49] 我问大家下，
[00:19:50] 我们的这个总论点能不能直接就把三个分类点进行一个罗列？
[00:19:56] 这个是完全没有问题的，
[00:19:58] 我们的总论点里面呢，
[00:20:00] 大家可以把分论点呢，
[00:20:01] 就是塞进去，
[00:20:02] 在一开头的时候就做一个强调。
[00:20:05] 这种写作方法是可以的，
[00:20:07] 好吧，
[00:20:08] 这个做一个开头是没有问题的，
[00:20:11] 好了，
[00:20:11] 我们再带着大家往下走。
[00:20:14] 这个开头写完了之后就要带着大家写分论点了啊，
[00:20:18] 带着大家来看一下这个分论点，
[00:20:20] 大家写的时候如果脑袋空白的话，
[00:20:23] 你脑子当中应该想什么？
[00:20:25] 哪位同学可以直接告诉我？
[00:20:27] 哎，
[00:20:27] 我写这个分论点的话，
[00:20:29] 脑袋空白，
[00:20:30] 我就要记住了，
[00:20:32] 袁东老师站在我身后说说什么说第一个叫名言警句。
[00:20:37] 第二个叫影响，
[00:20:38] 第三个袁东老师说了对策或者是例子，
[00:20:43] 第四个回扣一下我们的分论点。
[00:20:47] 请问这个名言警句，
[00:20:48] 大家能不能给老师想一个是关于人心的名言警句，
[00:20:52] 你们能够想起来就想起来，
[00:20:55] 想不起来我也没关系。
[00:20:56] 那反正我觉得我想不起来，
[00:20:59] 所以我就不要强行写，
[00:21:01] 然后接着我要写，
[00:21:02] 影响各位大家告诉我写影响的话要写谁？
[00:21:06] 写影响的话，
[00:21:07] 要写哪个词对谁有影响吧？
[00:21:10] 那我要写的这个词是指谁啊？
[00:21:13] 我要写的这个词是指的。
[00:21:16] 凝聚。
[00:21:18] 人心我要写的这个词是指的拉近民心对乡村的影响。
[00:21:27] 各位凝聚人心，
[00:21:28] 拉近人民心，
[00:21:30] 对于乡村有什么影响，
[00:21:32] 可以让乡村实现乡村振兴吧。
[00:21:35] 你看，
[00:21:36] 但是我就怕其他同学也跟我一样，
[00:21:39] 怎么办？
[00:21:40] 我问大家一下怎么办？
[00:21:42] 我反复的给大家说过的，
[00:21:44] 你可以调整一下。
[00:21:45] 顺序别人都说凝聚人心，
[00:21:48] 拉近民心，
[00:21:49] 可以更好的实现乡村振兴，
[00:21:51] 你可以反过来说叫要想实现乡村振兴，
[00:21:55] 就首先需要做到凝聚人心。
[00:21:58] 拉锯民心，
[00:21:58] 你看你这样稍微反转一下，
[00:22:01] 就比别人更好了，
[00:22:02] 好吧，
[00:22:02] 你看我就给大家写了一个开头。
[00:22:05] 大家看叫凝聚人心，
[00:22:07] 拉近民心，
[00:22:07] 可以实现乡村振兴，
[00:22:09] 但是我偏偏要把它反过来，
[00:22:12] 要想实现乡村振兴。
[00:22:13] 首先，
[00:22:14] 需要凝聚人心，
[00:22:15] 拉近民心。
[00:22:16] 当然，
[00:22:16] 你前面随便加一句废话都是可以的，
[00:22:19] 你不加这句废话，
[00:22:20] 你加一个历尽天花成此景，
[00:22:22] 人间万事出艰辛也是没有问题的。
[00:22:25] 好了，
[00:22:26] 我问大家下写完了这个影响之后，
[00:22:28] 我没有话说了，
[00:22:30] 我应该怎么办？
[00:22:31] 各位同学，
[00:22:32] 抓紧时间告诉我。
[00:22:33] 就是要记住东哥站在你跟身后说同学举例子，
[00:22:37] 举例子应该怎么举例子，
[00:22:39] 哪位同学可以告诉我举例子最全的是四个要素，
[00:22:43] 第一个是叫问题。
[00:22:44] 第二个是叫主体，
[00:22:46] 第三个是叫对策，
[00:22:48] 第四个是叫影响大家，
[00:22:50] 现在能够同意吗？
[00:22:52] 好了，
[00:22:52] 我们再带着大家往下走啊。
[00:22:54] 大家来看一下，
[00:22:56] 我们就带着大家举这个例子啊，
[00:22:59] 首先是一个问题，
[00:23:00] 加上一个主体，
[00:23:02] 加上一个对策。
[00:23:03] 再加上一个影响。
[00:23:06] 好吧，
[00:23:06] 这个问题的话呢，
[00:23:08] 我们应该怎么把它搞定？
[00:23:10] 哪位同学可以告诉我这个问题？
[00:23:13] 大家看在材料当中，
[00:23:15] 这个人心是问题。
[00:23:16] 恶劣的生存环境是问题，
[00:23:18] 那我们能不能把这句话写上去？
[00:23:21] 哪位同学可以告诉我？
[00:23:23] 我们怎么把恶劣的生存环境还有散乱的人心变成问题？
[00:23:28] 你只要加一个动词也就可以了，
[00:23:30] 大家跟老师一一起写面对。
[00:23:33] 恶劣的生存环境。
[00:23:36] 面对恶劣的。
[00:23:39] 生存。
[00:23:41] 环境一起把它写下来，
[00:23:44] 面对恶劣的生存环境和。
[00:23:47] 散了。
[00:23:50] 的。
[00:23:52] 人心OK，
[00:23:52] 一起把它搞定了，
[00:23:54] 下面这个主体是指谁？
[00:23:57] 这个主体是指的赵波，
[00:23:59] 赵波是驻村第一书记。
[00:24:02] 所以我们就给大家一起写住村。
[00:24:06] 第一书记。
[00:24:08] 驻村第一书记OK，
[00:24:09] 那么他干了什么事情？
[00:24:12] 哪位同学可以告诉我，
[00:24:14] 他干的对策？
[00:24:15] 有没有同学能够给我找出来，
[00:24:18] 你找的对策，
[00:24:19] 只要能够合情合理就行，
[00:24:21] 不一定和我完全一样，
[00:24:23] 你会发现他一家一只走一户一户看。
[00:24:26] 走访了每一个人，
[00:24:27] 我们就直接每一个人就是指的群众，
[00:24:30] 你就把它写成主动走进群众。
[00:24:33] 主动。
[00:24:35] 走进。
[00:24:37] 群众你看，
[00:24:38] 这是都是根据材料直接改写也就行了，
[00:24:41] 好了再来看一下，
[00:24:43] 主动走进群众，
[00:24:45] 他动手干了起来。
[00:24:46] 干了起来，
[00:24:47] 它是一个不规范的表述，
[00:24:49] 我们就把它变成实打实。
[00:24:53] 帮助群众干活。
[00:24:56] 实打实。
[00:24:58] 帮助。
[00:25:00] 群众。
[00:25:02] 干活一起把它搞定。
[00:25:05] 好了，
[00:25:05] 大家再来看一下，
[00:25:07] 最后它产生了一个影响，
[00:25:09] 这个影响应该怎么写？
[00:25:11] 你们告诉我最后的影响，
[00:25:14] 我非要加一个凝聚民心。
[00:25:16] 因为这是我的论证的中心论点，
[00:25:19] 最终的影响呢，
[00:25:20] 它就是凝聚了民心，
[00:25:22] 那么最终的影响大家看就是。
[00:25:25] 把他称呼变成书记，
[00:25:27] 变成兄弟了，
